WindowSize,CompressionLevel,Performance
23,9,63.68
17,3,2.564
12,6,3.846
16,5,5.392
24,4,2.708
13,9,6.862
16,3,2.508
21,8,18.874
22,11,259.594
24,4,2.708
12,7,5.266
10,9,6.246
12,1,1.542
19,2,2.1
24,5,7.154
19,2,2.1
15,2,1.972
19,8,11.508
16,5,5.392
18,11,279.692
21,11,244.72
17,10,307.144
22,4,2.748
10,7,4.874
16,4,2.77
10,1,1.666
24,2,2.04
15,5,5.072
10,0,1.662
24,9,108.602
19,10,258.558
19,4,2.8
22,10,256.21
13,8,5.62
13,5,4.128
12,1,1.542
14,0,1.472
12,7,5.266
13,5,4.128
19,1,1.604
24,6,10.176
13,7,5.554
18,6,7.51
14,7,5.896
12,0,1.528
13,6,4.3
18,11,279.692
13,8,5.62
17,1,1.612
20,8,14.64
13,7,5.554
17,5,5.886
16,9,9.094
17,11,307.42
22,8,25.432
10,11,363.346
15,8,6.738
19,11,258.502
16,8,7.548
14,0,1.472
17,7,7.636
11,4,3.04
10,2,2.146
21,4,2.768
22,1,1.586
13,2,1.942
19,11,258.502
14,9,7.404
12,8,5.318
22,1,1.586
12,7,5.266
10,1,1.666
15,6,5.306
20,2,2.088
18,4,2.824
16,2,2.026
10,0,1.662
15,10,291.618
10,5,3.306
23,7,20.474
15,6,5.306
24,3,2.478
22,10,256.21
21,6,10.46
10,5,3.306
24,1,1.57
11,7,5.078
15,3,2.392
21,4,2.768
24,3,2.478
12,1,1.542
19,5,7.372
12,3,2.426
24,0,1.574
16,6,5.77
23,8,37.284
19,7,10.05
17,6,6.34
24,7,20.228
21,7,15.806
