WindowSize,CompressionLevel,Performance
24,11,394.158
16,8,7.548
16,1,1.598
22,2,2.05
14,10,301.488
18,5,6.714
16,7,6.998
18,10,279.698
24,0,1.574
21,10,244.734
22,1,1.586
13,3,2.37
22,3,2.5
13,1,1.514
20,2,2.088
19,1,1.604
17,1,1.612
15,10,291.618
12,10,328.816
23,5,7.178
19,5,7.372
19,9,14.048
13,1,1.514
24,6,10.176
22,9,34.292
23,8,37.284
22,6,10.266
14,4,2.894
22,0,1.596
12,2,1.988
13,9,6.862
13,3,2.37
23,10,318.954
21,4,2.768
20,10,246.512
24,3,2.478
16,8,7.548
14,5,4.678
24,6,10.176
14,10,301.488
13,8,5.62
11,5,3.49
24,5,7.154
24,6,10.176
11,11,343.996
14,2,1.9
13,3,2.37
21,2,2.06
17,7,7.636
17,8,8.454
13,10,313.652
16,3,2.508
16,3,2.508
11,9,6.286
15,0,1.534
15,0,1.534
23,3,2.478
16,2,2.026
18,9,11.954
23,1,1.572
14,8,6.086
10,10,363.364
16,3,2.508
17,11,307.42
21,6,10.46
11,2,1.998
24,7,20.228
19,8,11.508
23,6,10.22
12,8,5.318
17,10,307.144
21,2,2.06
16,1,1.598
16,4,2.77
20,1,1.636
11,10,343.594
22,2,2.05
16,11,284.296
24,9,108.602
14,10,301.488
24,8,38.644
15,5,5.072
14,5,4.678
23,5,7.178
13,6,4.3
24,1,1.57
22,11,259.594
14,1,1.46
12,9,6.47
13,7,5.554
10,1,1.666
18,7,8.628
23,1,1.572
13,8,5.62
15,2,1.972
24,0,1.574
12,2,1.988
17,9,10.152
16,1,1.598
16,11,284.296
