spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,1,0,1,0,1,0,0,1,0,0,1,1,0.994041708044
1,1,0,1,1,1,1,1,1,0,1,1,0,1,0.993048659384
1,1,0,1,0,0,1,1,0,0,0,0,1,1,0.997020854022
1,0,1,1,0,1,1,0,0,0,1,0,0,0,0.992055610725
1,1,1,0,1,1,0,1,0,1,0,0,0,1,0.994041708044
1,1,0,0,0,0,1,0,0,0,1,1,1,1,0.994041708044
0,1,0,1,1,1,1,0,1,1,0,1,0,0,0.0158887785501
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0.998013902681
1,1,0,0,0,0,0,1,1,1,1,0,1,1,0.993048659384
0,0,0,1,0,1,0,1,0,0,1,1,1,1,0.00595829195631
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0.995034756703
0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.000993048659384
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.0297914597815
0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.00297914597815
0,0,1,1,0,1,0,0,0,0,0,0,1,0,0.00695134061569
1,0,1,0,0,1,1,1,0,0,1,1,0,0,0.994041708044
1,1,0,0,1,0,1,0,1,1,0,0,1,0,0.994041708044
1,1,0,1,1,0,1,1,1,0,0,0,0,0,0.702085402185
0,1,0,1,0,1,1,1,1,1,0,1,1,0,0.0119165839126
0,1,1,1,0,0,1,0,1,1,0,1,0,0,0.00297914597815
1,0,0,1,0,1,1,1,0,1,1,0,1,0,0.994041708044
1,1,0,1,1,0,0,0,1,0,1,0,1,1,0.994041708044
1,1,1,0,0,1,0,0,0,0,1,1,1,0,0.992055610725
1,1,0,0,1,1,0,0,1,1,0,1,0,0,0.994041708044
1,0,1,1,0,0,1,0,0,1,1,1,0,1,0.997020854022
1,1,0,1,0,0,1,1,1,1,0,0,1,0,0.997020854022
0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.00993048659384
1,0,0,1,1,1,1,1,1,1,1,0,0,1,0.994041708044
1,1,1,1,1,0,1,1,1,0,0,1,1,1,0.994041708044
1,0,1,1,0,0,1,0,0,1,1,0,0,1,0.996027805362
0,1,0,0,0,0,1,1,1,1,1,0,1,1,0.0109235352532
1,1,1,1,0,1,1,0,0,0,1,1,0,1,0.175769612711
0,1,0,1,1,1,0,1,1,1,0,0,0,0,0.0188679245283
1,1,1,1,1,1,0,1,1,1,0,1,0,1,0.994041708044
1,1,1,1,1,0,1,0,0,0,1,1,0,1,0.994041708044
1,0,0,1,1,1,1,1,0,0,1,1,0,1,0.994041708044
0,0,0,1,1,1,0,0,0,1,0,0,1,0,0.00595829195631
0,1,0,0,0,0,0,1,1,0,1,0,1,0,0.0109235352532
1,1,0,0,0,0,0,0,0,1,1,1,1,0,0.994041708044
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0.994041708044
1,0,0,1,0,1,1,1,0,1,1,0,0,1,0.994041708044
