new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,1,2,1,1,1,1,0,1,1,29.632
3,1,1,1,1,1,1,0,0,1,28.922
1,3,2,0,1,1,1,0,1,1,155.896
4,3,2,1,1,0,1,1,0,1,49.98
2,3,1,1,0,0,1,1,1,1,84.846
3,3,2,1,0,1,0,1,1,1,52.842
2,3,1,0,1,0,0,0,1,0,74.456
2,1,3,1,1,0,1,0,1,0,43.28
1,1,2,0,0,0,1,0,0,0,87.212
2,1,2,1,0,0,0,0,0,0,43.466
4,1,3,0,1,1,0,1,1,1,24.88
2,2,1,0,1,1,1,1,0,1,74.9
3,3,2,1,0,0,0,1,0,1,63.94
1,2,2,1,0,1,0,1,0,0,127.804
1,3,2,0,1,1,1,0,1,1,155.896
2,3,1,1,1,1,0,0,0,1,82.656
4,3,2,0,0,0,1,1,0,0,53.128
1,1,2,1,0,1,1,0,1,1,82.224
3,2,2,0,1,0,0,0,0,0,45.3
4,2,1,1,0,1,1,0,1,0,30.506
4,2,2,1,1,0,0,1,1,0,29.734
4,3,2,1,1,1,0,0,1,1,37.614
2,1,1,0,1,0,0,1,1,1,49.332
1,2,1,0,1,0,0,1,0,1,134.052
2,3,2,1,1,0,0,1,0,1,90.64
2,2,3,0,1,0,1,0,0,1,69.468
2,2,2,0,0,0,1,0,1,1,62.69
2,1,1,0,0,1,0,1,1,0,49.854
2,1,3,1,0,0,1,1,0,0,46.92
1,1,2,1,1,0,0,1,0,1,86.884
1,2,3,0,1,1,0,1,1,0,118.158
3,2,2,1,1,1,0,0,1,1,38.006
1,1,2,1,0,0,1,1,1,0,88.892
3,1,2,1,1,1,0,0,1,0,29.288
2,2,2,1,0,0,1,0,1,1,60.026
4,1,2,0,1,1,0,0,0,1,24.014
4,3,2,1,1,0,1,1,1,0,42.628
3,2,3,0,1,0,0,1,1,0,42.51
4,2,1,1,0,1,0,0,1,1,28.39
1,1,1,0,0,1,0,1,0,1,94.496
4,2,3,1,1,0,1,1,0,0,35.524
3,3,1,1,0,1,1,0,0,1,66.864
3,3,3,1,0,0,1,1,0,1,71.376
2,1,3,1,0,1,0,0,1,0,44.036
1,3,2,0,1,1,1,1,0,0,192.562
3,2,2,0,1,1,1,0,1,0,43.85
2,2,2,1,0,1,1,1,1,0,62.966
4,3,1,0,1,1,1,1,1,1,44.68
1,3,1,1,1,1,1,1,1,0,157.16
3,1,3,1,1,0,1,0,0,0,30.258
4,2,2,1,0,0,1,1,0,0,36.08
2,1,3,1,1,1,0,0,0,1,42.72
2,2,1,1,0,0,1,0,0,0,65.846
3,1,3,0,1,1,1,0,0,0,32.308
3,3,1,0,0,1,0,1,1,0,54.806
2,2,2,0,0,0,1,1,0,1,75.628
3,1,3,0,0,1,1,1,0,1,34.214
2,3,3,0,0,0,0,0,1,0,75.956
4,1,2,0,0,0,0,1,1,0,25.224
1,2,3,0,1,1,0,0,0,0,122.334
2,1,3,1,0,0,0,0,0,1,44.27
2,2,2,0,1,1,1,0,1,1,63.004
1,2,1,1,0,0,0,0,0,1,115.876
4,2,2,0,1,0,1,0,0,0,35.852
3,3,3,1,1,1,1,0,1,1,56.862
2,1,1,0,0,0,0,1,0,0,49.896
2,1,2,1,1,0,1,0,0,1,42.734
4,2,1,1,1,1,0,0,1,1,28.068
2,1,1,1,0,1,0,1,1,1,47.116
2,2,1,0,1,0,1,1,1,0,66.048
2,2,1,0,0,1,1,1,0,1,75.83
2,2,3,0,0,1,1,0,1,0,63.122
1,3,3,1,0,1,1,0,1,0,151.834
4,1,1,0,1,0,0,1,0,1,24.832
3,1,3,0,1,0,1,1,0,0,33.798
1,2,2,0,0,0,0,0,1,0,109.946
2,1,2,1,1,0,1,0,1,0,42.836
4,2,3,0,0,1,1,0,0,0,37.044
3,2,3,0,1,1,0,1,1,0,42.34
4,3,2,1,0,0,1,0,1,0,42.006
3,1,3,1,0,1,1,0,0,1,30.912
4,3,1,1,0,1,1,1,0,0,50.78
2,2,1,1,0,1,0,0,1,0,55.688
2,3,1,0,1,0,1,0,0,0,95.238
4,3,1,0,1,1,1,1,0,1,52.84
3,1,1,1,1,0,1,1,1,0,31.404
2,3,2,0,0,0,0,1,0,0,96.118
1,2,2,1,0,1,1,1,0,1,134.872
4,3,3,0,1,0,1,1,0,0,52.566
1,2,3,0,0,0,1,1,1,1,125.676
3,1,1,1,1,0,1,1,1,1,31.336
2,1,1,0,0,0,0,1,1,0,49.456
4,1,1,0,1,0,1,1,1,0,25.014
3,2,2,0,0,1,0,1,0,0,50.242
4,2,1,0,0,0,1,0,0,1,35.898
4,1,3,1,0,0,1,1,1,1,23.774
2,2,2,1,0,0,0,1,1,0,59.56
4,2,1,1,1,0,1,1,1,0,32.896
2,3,1,1,1,1,1,0,0,1,91.398
2,2,1,1,0,1,1,0,0,0,66.294
