new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,1,2,1,0,2048,5,337.4748
0,0,1,1,1,1,2048,9,337.4748
1,1,1,2,1,1,512,5,337.4748
1,1,2,0,0,0,2048,1,337.4748
1,2,2,0,1,1,2048,5,165.2798
1,2,1,2,1,0,1024,9,337.4748
0,0,1,1,1,1,2048,5,337.4748
0,2,1,2,0,1,512,5,337.4748
0,2,2,2,1,1,1024,0,337.4748
1,0,1,1,0,0,1024,0,337.4748
0,1,1,0,0,0,4096,9,337.4748
1,2,2,1,1,1,1024,9,167.7816
0,0,2,2,0,0,1024,5,337.4748
0,1,2,0,1,0,1024,0,31.4174
0,1,1,2,0,1,4096,1,337.4748
1,1,2,0,0,0,4096,1,337.4748
0,1,2,0,1,0,2048,0,31.6254
0,0,2,0,1,0,512,0,166.1266
1,0,2,1,0,1,2048,5,337.4748
1,1,2,1,1,0,2048,9,337.4748
1,0,1,2,0,0,512,9,337.4748
0,1,2,0,0,1,4096,5,337.4748
0,2,2,2,0,1,512,9,165.1012
0,0,1,0,1,1,2048,1,337.4748
0,2,1,2,1,1,512,9,337.4748
0,1,2,2,0,0,1024,5,337.4748
1,0,1,2,1,0,1024,1,337.4748
0,1,2,2,1,0,1024,9,337.4748
0,2,1,2,0,1,1024,9,337.4748
0,0,2,1,1,0,1024,1,337.4748
1,1,2,1,0,1,4096,5,337.4748
0,0,1,0,1,0,512,9,337.4748
1,2,2,2,0,1,1024,5,165.774
1,2,2,0,0,0,4096,0,337.4748
0,2,2,0,1,0,512,5,163.0798
0,0,2,1,0,0,1024,5,337.4748
0,2,1,1,1,1,2048,0,337.4748
0,0,1,2,1,1,4096,0,337.4748
1,1,2,2,1,1,2048,0,32.0416
0,0,2,2,1,0,2048,5,337.4748
1,1,2,2,1,1,512,9,337.4748
0,0,2,0,0,0,4096,9,337.4748
1,0,1,1,1,0,512,1,337.4748
0,1,2,0,0,1,1024,0,32.209
1,0,2,0,1,0,4096,5,337.4748
0,0,1,0,1,0,2048,9,337.4748
0,0,2,1,1,1,1024,1,337.4748
1,2,2,2,0,1,512,0,337.4748
1,2,1,0,0,0,4096,5,167.3366
1,0,2,1,1,0,512,5,337.4748
0,0,1,1,0,1,4096,0,337.4748
1,1,2,0,1,0,2048,0,31.7862
1,2,2,1,0,0,512,9,164.1642
0,0,2,1,0,0,512,0,165.9226
0,2,1,1,1,1,4096,1,337.4748
0,1,1,0,0,1,512,1,337.4748
1,2,1,2,1,0,2048,1,337.4748
1,0,1,1,1,1,1024,1,337.4748
0,0,1,1,0,0,1024,1,337.4748
0,0,2,1,1,0,2048,9,337.4748
0,2,2,1,0,0,2048,0,337.4748
1,0,1,2,1,1,2048,1,337.4748
1,2,1,1,1,1,1024,0,337.4748
1,0,1,0,0,1,2048,1,337.4748
1,2,1,2,1,0,2048,1,337.4748
0,1,2,1,0,1,1024,9,337.4748
1,0,2,2,1,1,512,0,166.1112
1,1,1,0,1,0,512,9,337.4748
1,1,1,1,1,0,1024,1,337.4748
1,1,1,0,0,1,512,5,337.4748
0,1,1,0,0,0,4096,9,337.4748
0,1,1,0,1,1,2048,0,32.7328
0,0,2,0,0,1,4096,9,337.4748
0,2,1,1,0,1,2048,5,337.4748
1,2,1,2,1,0,4096,9,337.4748
0,0,2,0,0,0,1024,1,337.4748
0,1,2,1,0,1,4096,5,337.4748
0,0,1,0,0,0,2048,0,164.984
0,0,2,2,0,1,512,1,337.4748
0,1,1,2,0,0,512,1,337.4748
1,2,2,0,0,1,1024,0,337.4748
1,2,1,0,1,0,1024,5,167.2178
0,0,2,2,1,1,512,5,337.4748
1,1,2,1,0,1,1024,1,337.4748
0,0,1,1,1,0,512,5,337.4748
1,2,1,1,0,0,2048,9,337.4748
1,2,1,1,1,0,2048,1,337.4748
1,1,2,2,0,0,4096,1,337.4748
1,2,2,1,0,0,512,5,165.398
1,2,2,1,0,1,4096,0,337.4748
0,0,2,2,0,0,512,9,337.4748
0,2,1,0,0,1,1024,9,165.5612
1,1,2,0,0,0,4096,1,337.4748
0,1,1,1,1,1,1024,5,337.4748
0,2,2,1,0,0,4096,0,337.4748
0,0,1,1,0,1,2048,0,337.4748
0,1,1,0,0,0,4096,5,337.4748
0,2,2,0,0,1,2048,5,163.1684
1,0,2,2,1,0,512,0,164.1874
0,2,2,0,1,1,4096,1,164.8436
