new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,1,2,0,1,1024,9,337.4748
0,1,1,1,1,1,512,9,337.4748
1,1,1,0,1,0,1024,0,31.9774
1,1,1,1,0,1,512,5,337.4748
1,0,1,2,1,0,4096,0,337.4748
0,2,2,2,1,1,512,5,164.9078
0,2,1,1,0,1,1024,0,337.4748
1,0,1,1,1,0,1024,9,337.4748
1,2,1,1,0,0,1024,9,337.4748
1,2,2,2,1,1,2048,0,337.4748
1,1,2,2,1,0,1024,5,337.4748
0,0,2,1,0,0,1024,1,337.4748
0,1,2,1,0,0,2048,1,337.4748
1,0,1,0,0,0,4096,0,166.614
0,2,2,0,0,1,512,9,165.1774
0,2,1,0,0,0,512,1,167.1056
1,0,2,1,1,1,512,9,337.4748
1,1,2,2,0,1,4096,0,32.3962
0,2,1,0,1,0,2048,0,337.4748
0,1,1,0,1,1,4096,5,337.4748
0,1,1,0,1,1,1024,9,337.4748
0,0,2,0,1,0,512,5,337.4748
1,1,1,1,0,0,512,9,337.4748
0,2,2,0,0,1,4096,5,165.3656
0,1,1,2,0,0,512,9,337.4748
0,2,2,2,1,0,512,1,163.8384
1,2,2,1,1,1,512,5,165.232
1,0,2,1,0,1,512,0,165.4614
0,1,1,0,1,1,4096,9,337.4748
0,2,2,2,1,0,4096,9,165.7986
1,0,1,1,1,1,512,0,337.4748
0,2,1,0,0,0,4096,1,167.098
1,1,2,0,0,1,1024,1,337.4748
0,2,1,1,1,1,512,0,337.4748
1,1,2,1,0,0,512,0,31.3498
1,2,2,2,1,1,512,5,163.3302
0,1,2,0,1,0,1024,5,337.4748
1,0,1,0,1,1,2048,9,337.4748
0,0,1,0,0,0,2048,0,164.984
1,0,1,1,1,0,512,9,337.4748
1,0,1,0,1,0,2048,5,337.4748
1,1,2,2,1,0,2048,9,337.4748
1,0,2,2,0,1,1024,1,337.4748
1,2,1,1,1,0,2048,0,337.4748
0,2,1,0,0,0,512,1,167.1056
1,0,1,2,0,0,2048,0,337.4748
0,1,2,2,1,1,4096,5,337.4748
1,0,2,2,0,1,512,9,337.4748
1,0,2,1,0,0,512,5,337.4748
1,2,2,0,1,0,4096,0,337.4748
1,1,2,2,0,0,1024,1,337.4748
0,1,2,0,1,1,512,0,31.4334
1,1,1,1,1,0,1024,1,337.4748
0,1,1,2,1,0,2048,1,337.4748
0,1,1,1,1,1,512,1,337.4748
1,0,1,0,1,0,2048,1,337.4748
1,1,1,0,0,0,4096,9,337.4748
1,2,2,2,0,0,2048,1,167.0078
0,0,1,0,1,0,1024,0,165.4058
1,1,1,0,0,0,2048,9,337.4748
1,2,2,1,1,1,512,0,337.4748
0,1,1,0,0,1,1024,1,337.4748
0,2,2,0,0,0,1024,1,165.1946
0,0,1,1,0,1,2048,0,337.4748
1,2,1,2,1,0,4096,1,337.4748
0,1,2,2,0,0,2048,5,337.4748
1,2,1,0,0,0,512,9,165.5418
1,1,1,1,0,0,2048,1,337.4748
0,1,1,0,0,0,2048,9,337.4748
1,1,1,0,0,1,512,0,32.3174
1,1,2,0,1,0,2048,1,337.4748
0,0,2,1,0,1,4096,9,337.4748
0,0,2,2,0,0,4096,5,337.4748
0,1,1,2,1,0,1024,9,337.4748
1,1,1,1,0,0,512,9,337.4748
0,0,1,0,0,1,512,0,166.5286
1,1,1,2,1,0,512,0,337.4748
1,2,2,1,0,1,512,5,165.5166
1,0,2,0,0,1,512,1,337.4748
1,1,2,2,1,1,4096,9,337.4748
0,0,1,2,1,1,512,1,337.4748
1,1,2,2,1,1,1024,0,32.0974
1,1,2,2,0,1,2048,0,32.4974
1,0,1,1,1,1,2048,1,337.4748
1,2,1,2,1,0,512,9,337.4748
0,2,2,2,0,1,4096,9,164.142
0,1,2,1,0,1,1024,5,337.4748
1,1,1,2,1,0,4096,9,337.4748
1,0,2,1,0,1,1024,0,163.0718
1,1,2,0,1,1,1024,1,337.4748
0,2,2,0,0,1,512,0,337.4748
0,1,1,0,1,1,2048,5,337.4748
1,1,1,2,1,1,4096,0,337.4748
1,1,2,1,1,0,4096,9,337.4748
0,0,2,2,0,0,4096,0,167.2748
0,1,1,0,1,0,1024,9,337.4748
0,1,1,2,1,0,1024,5,337.4748
1,1,1,1,0,1,4096,9,337.4748
1,2,1,0,1,1,1024,9,166.218
0,2,1,2,0,1,512,5,337.4748
