WindowSize,CompressionLevel,Performance
11,10,343.594
19,7,10.05
13,9,6.862
15,7,6.39
19,8,11.508
16,3,2.508
17,3,2.564
15,4,2.834
14,9,7.404
23,0,1.556
16,9,9.094
10,0,1.662
22,3,2.5
20,8,14.64
13,7,5.554
21,0,1.604
19,7,10.05
14,2,1.9
18,10,279.698
15,0,1.534
22,9,34.292
22,1,1.586
19,9,14.048
23,9,63.68
12,8,5.318
14,3,2.302
14,10,301.488
19,5,7.372
22,5,7.198
18,10,279.698
17,11,307.42
12,0,1.528
21,3,2.512
10,0,1.662
24,0,1.574
15,8,6.738
19,9,14.048
21,1,1.598
21,9,23.614
20,11,246.08
22,6,10.266
19,2,2.1
10,9,6.246
18,3,2.562
18,2,2.094
21,1,1.598
18,6,7.51
12,9,6.47
22,10,256.21
15,10,291.618
24,11,394.158
16,4,2.77
14,9,7.404
13,7,5.554
21,4,2.768
13,8,5.62
12,7,5.266
15,4,2.834
18,2,2.094
23,4,2.726
11,3,2.476
12,3,2.426
10,1,1.666
18,1,1.63
12,6,3.846
13,10,313.652
13,8,5.62
24,2,2.04
19,1,1.604
23,10,318.954
12,7,5.266
24,0,1.574
18,4,2.824
23,5,7.178
13,6,4.3
11,8,5.042
23,9,63.68
18,4,2.824
24,9,108.602
20,3,2.546
18,0,1.628
14,0,1.472
19,1,1.604
22,6,10.266
14,1,1.46
14,7,5.896
11,9,6.286
23,3,2.478
17,9,10.152
20,7,12.338
10,5,3.306
19,3,2.552
13,10,313.652
13,2,1.942
20,2,2.088
17,5,5.886
10,11,363.346
22,2,2.05
14,3,2.302
18,1,1.63
