WindowSize,CompressionLevel,Performance
16,4,2.77
11,3,2.476
15,8,6.738
20,6,10.658
16,10,285.0
15,6,5.306
11,9,6.286
10,6,3.386
14,5,4.678
20,6,10.658
21,11,244.72
24,6,10.176
19,4,2.8
20,6,10.658
17,2,2.102
24,11,394.158
21,11,244.72
18,8,9.684
16,0,1.59
23,10,318.954
16,0,1.59
14,4,2.894
19,1,1.604
21,1,1.598
17,3,2.564
20,5,7.45
10,0,1.662
16,11,284.296
20,9,17.4
23,5,7.178
23,5,7.178
14,4,2.894
19,8,11.508
18,9,11.954
24,5,7.154
17,5,5.886
16,8,7.548
15,3,2.392
19,0,1.614
19,9,14.048
22,1,1.586
12,7,5.266
13,0,1.514
21,8,18.874
14,11,301.078
12,3,2.426
16,3,2.508
12,4,3.004
18,9,11.954
14,3,2.302
14,5,4.678
24,9,108.602
15,5,5.072
16,5,5.392
19,0,1.614
14,10,301.488
20,6,10.658
20,6,10.658
15,2,1.972
11,3,2.476
22,2,2.05
11,7,5.078
17,4,2.848
12,3,2.426
17,10,307.144
19,1,1.604
17,0,1.606
21,9,23.614
24,9,108.602
15,9,8.084
12,8,5.318
20,10,246.512
14,9,7.404
15,11,292.192
22,2,2.05
18,4,2.824
16,0,1.59
21,0,1.604
23,11,315.238
11,3,2.476
18,1,1.63
11,4,3.04
19,1,1.604
20,2,2.088
19,8,11.508
13,4,2.972
14,7,5.896
11,6,3.57
11,10,343.594
24,10,392.744
10,6,3.386
12,5,3.746
13,8,5.62
18,9,11.954
21,7,15.806
11,3,2.476
10,1,1.666
20,8,14.64
22,5,7.198
11,11,343.996
