fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,0,0,0,256,8,4096,133344.2
1,1,0,1,0,128,8,1024,135017.0
1,0,1,1,0,128,32,256,140915.4
0,0,0,0,1,64,8,1024,46184.4
0,1,1,0,0,256,32,4096,46191.2
0,1,0,1,1,64,2,4096,46521.2
0,1,0,1,0,128,2,1024,46599.4
0,0,1,0,0,256,2,256,46199.6
1,0,0,1,0,256,32,4096,133534.2
1,1,1,1,1,256,8,256,136030.6
0,1,0,1,0,64,2,1024,46447.6
1,0,1,1,1,64,32,1024,141022.0
1,0,0,0,0,64,8,256,134959.4
1,0,0,1,1,64,32,256,134738.8
0,1,0,1,1,128,32,1024,46648.6
0,0,1,1,0,256,32,256,46622.6
0,0,0,0,1,64,8,4096,46327.8
1,0,0,0,0,64,2,4096,132542.0
0,0,1,0,1,256,32,1024,45939.8
1,1,0,0,1,256,32,4096,134608.6
1,0,0,1,1,64,2,4096,133870.0
1,1,1,1,0,256,2,4096,127337.6
0,1,0,1,1,256,2,1024,46417.0
0,1,1,0,1,64,8,1024,46293.6
1,1,0,1,0,256,8,1024,131766.4
0,1,0,1,0,64,8,256,46431.0
1,0,0,1,1,64,8,1024,135458.2
1,0,1,1,1,128,32,256,137237.2
0,1,0,0,1,128,32,1024,46405.0
0,0,1,1,0,256,8,4096,46502.6
1,0,1,0,1,128,32,4096,138524.6
1,0,1,0,1,256,2,1024,134831.6
1,0,1,0,0,256,32,4096,138631.4
1,1,0,0,0,64,8,4096,135287.8
0,0,0,0,0,64,8,1024,46349.4
1,1,0,1,0,128,8,4096,132048.8
1,0,1,1,0,256,8,256,139655.8
1,0,1,1,0,256,32,256,140016.8
0,1,0,0,0,64,2,256,46500.4
0,1,0,0,0,128,8,4096,46379.2
0,0,0,0,1,128,2,4096,46108.2
1,1,1,1,1,128,32,256,135538.4
0,1,0,0,1,128,32,4096,46213.6
0,0,0,1,1,128,8,4096,46615.8
1,1,1,0,0,128,2,256,136797.8
1,0,0,0,0,128,8,1024,130750.8
0,1,0,1,0,64,32,4096,46404.0
0,0,1,1,0,128,2,4096,46450.2
0,0,1,1,1,256,32,256,46605.0
0,1,0,0,0,128,2,256,46022.8
1,1,0,0,0,128,2,1024,133545.6
1,1,0,1,1,128,8,256,131563.8
0,0,0,0,0,256,2,256,46207.6
0,0,1,1,0,128,2,4096,46450.2
1,0,0,0,0,64,2,1024,131859.6
1,1,1,0,0,128,32,4096,128492.6
1,1,0,1,1,256,2,256,131228.6
1,0,0,1,1,128,32,256,135614.0
1,0,1,1,0,64,2,1024,140228.0
1,1,0,1,1,64,8,4096,128898.0
0,1,0,1,1,64,32,1024,46378.6
0,0,1,0,0,64,8,1024,46291.6
0,1,0,1,0,128,32,256,47359.0
1,1,0,1,0,256,32,256,134325.4
0,1,0,0,1,128,2,1024,46099.4
1,1,0,0,1,128,2,1024,130383.4
1,1,1,1,1,128,8,1024,130226.0
1,1,1,0,1,128,2,1024,134561.0
0,1,1,1,1,128,2,256,46463.2
0,0,0,1,0,256,8,256,46388.8
1,1,0,0,0,128,2,256,132604.8
0,0,0,1,1,64,32,1024,46600.2
0,0,0,1,0,64,8,4096,46361.2
1,0,1,1,0,128,8,256,142638.0
0,0,1,1,0,64,8,1024,46966.4
0,1,1,0,0,128,32,1024,46311.2
0,1,0,0,0,64,32,256,46122.2
1,1,0,1,0,256,8,1024,131766.4
0,1,1,0,0,128,8,256,46214.6
0,1,1,0,1,128,32,256,46129.8
0,0,1,1,0,256,32,256,46622.6
0,0,0,1,0,64,32,4096,46264.2
0,1,1,0,1,64,8,256,46219.0
1,0,0,0,1,256,2,1024,130366.8
0,1,0,1,1,64,2,1024,46520.6
1,0,1,1,1,128,32,256,137237.2
1,1,0,1,1,256,2,256,131228.6
0,0,1,1,1,128,8,1024,46669.0
1,0,1,1,0,64,8,4096,139204.2
1,1,1,1,0,128,2,256,128216.6
0,0,1,0,1,128,32,256,46260.2
1,1,1,0,0,128,32,4096,128492.6
0,1,0,1,1,256,2,256,46319.0
0,0,1,0,0,128,2,1024,46254.6
1,0,1,1,0,256,32,4096,138895.2
0,0,0,0,0,128,2,256,46236.8
1,0,0,0,0,128,32,1024,127243.8
1,0,0,0,1,256,2,1024,130366.8
1,1,1,1,0,128,32,4096,127500.8
1,1,0,1,1,64,8,1024,125966.2
