fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,0,0,1,256,2,256,46214.2
0,0,0,0,0,256,8,256,46305.6
0,1,1,0,1,128,2,1024,46282.6
1,0,1,0,0,256,2,1024,135993.4
0,1,0,0,0,128,8,4096,46379.2
0,1,0,0,1,128,2,4096,46277.6
0,1,1,0,1,64,2,1024,46614.4
0,0,0,0,1,64,8,256,46194.8
1,1,0,1,0,256,8,256,133679.6
1,1,1,0,0,128,32,1024,132014.6
0,1,1,1,1,128,2,256,46463.2
0,1,1,0,0,256,8,1024,47095.6
1,0,0,0,1,128,8,256,133596.6
1,1,1,0,1,64,32,1024,130145.2
0,0,0,1,0,256,2,256,46452.6
0,1,0,0,0,64,32,1024,46224.0
1,0,0,0,0,64,2,4096,132542.0
0,0,1,0,0,128,32,4096,46233.6
1,1,0,1,1,256,8,256,132543.6
0,1,0,1,0,64,32,256,46886.0
1,1,1,1,0,256,32,256,131548.2
1,1,1,0,0,64,8,1024,133447.6
0,1,1,1,0,128,8,1024,46551.0
1,0,1,0,1,256,8,256,134102.0
0,1,0,0,1,64,32,1024,46172.8
1,1,1,1,1,256,8,4096,134411.4
0,0,1,1,1,64,8,1024,46645.6
1,1,1,1,0,64,32,1024,127659.2
1,1,0,0,0,256,32,4096,132785.6
0,0,0,0,0,64,32,1024,46298.4
1,0,0,1,1,256,2,256,131810.4
0,0,1,1,1,128,32,4096,46593.6
0,1,0,1,1,256,32,1024,46390.0
0,1,0,0,0,256,2,256,46440.0
0,0,0,1,0,64,2,4096,46738.0
1,0,1,1,1,64,2,1024,135739.2
1,1,1,0,1,256,8,1024,128079.8
1,1,0,0,1,64,8,256,134080.8
0,1,0,0,0,64,8,1024,46294.0
1,1,0,0,0,128,32,1024,133666.2
0,1,0,0,0,256,8,1024,46097.6
1,0,0,1,1,128,32,4096,132487.4
0,1,1,1,1,128,2,256,46463.2
0,0,0,0,1,256,2,1024,46354.2
0,0,1,1,1,64,2,256,46643.2
1,1,0,0,0,256,8,4096,133344.2
0,1,0,1,0,64,8,1024,46348.8
0,0,0,0,0,128,32,256,46255.0
1,0,1,0,1,128,32,256,134666.4
1,0,1,0,1,128,32,1024,140847.2
1,1,1,1,0,64,8,4096,129001.8
0,1,0,0,0,64,32,256,46122.2
0,1,1,1,0,64,32,256,46517.6
1,1,0,1,1,128,2,1024,127180.0
1,1,1,1,0,128,32,256,130071.2
1,1,1,1,1,128,8,4096,130405.6
0,0,1,0,1,256,32,4096,47000.2
0,0,0,0,0,128,2,1024,46169.2
1,1,1,1,1,256,8,4096,134411.4
0,1,1,0,0,64,8,4096,46121.6
0,0,0,0,0,64,2,256,46272.2
1,0,1,1,0,256,32,1024,143943.2
1,1,0,0,0,256,32,256,130682.8
1,0,1,0,1,128,8,256,136260.8
1,0,0,0,0,256,8,1024,131793.4
0,1,0,1,1,64,32,4096,46490.6
0,0,1,1,1,64,2,256,46643.2
1,1,0,0,1,64,2,1024,136113.4
1,1,0,0,1,128,8,1024,133644.4
1,0,0,1,0,256,8,256,134239.4
0,0,0,1,1,128,8,256,46472.4
1,1,0,1,1,256,2,1024,130103.4
0,0,1,0,0,64,32,256,46180.0
1,0,0,1,0,256,2,256,131727.4
1,1,0,1,0,256,8,1024,131766.4
1,1,0,1,1,128,8,4096,126456.8
0,0,0,1,0,64,2,1024,46287.8
1,0,1,1,1,256,2,256,136546.2
1,0,0,1,1,64,32,256,134738.8
0,1,1,1,1,128,8,4096,46800.8
0,0,0,0,0,128,32,1024,46582.2
0,0,0,1,1,64,8,1024,47331.0
1,0,0,1,0,256,2,1024,133313.6
0,1,1,0,1,64,2,256,46194.4
1,0,1,0,0,256,32,1024,134646.2
1,0,0,0,0,256,8,4096,135307.4
0,1,1,0,1,64,2,4096,46299.4
1,0,0,1,0,256,32,1024,133283.0
1,1,0,1,0,64,32,1024,132685.0
1,1,1,1,1,128,32,4096,132082.4
1,0,1,1,1,256,32,256,137724.2
0,0,0,0,1,128,32,4096,46304.6
1,1,1,1,1,256,2,4096,127524.8
0,0,0,0,1,64,8,1024,46184.4
1,0,0,0,0,128,32,1024,127243.8
1,0,0,1,0,256,2,1024,133313.6
1,0,1,1,0,64,2,256,140491.6
1,0,0,0,1,256,32,256,135823.2
1,1,1,0,1,128,32,1024,135219.0
1,0,1,0,1,256,32,256,137280.0
