WindowSize,CompressionLevel,Performance
15,8,6.738
24,6,10.176
10,5,3.306
22,7,19.626
11,7,5.078
13,9,6.862
16,7,6.998
22,7,19.626
20,3,2.546
11,5,3.49
18,7,8.628
14,10,301.488
20,1,1.636
11,5,3.49
21,4,2.768
10,0,1.662
21,11,244.72
20,9,17.4
16,11,284.296
22,5,7.198
15,4,2.834
12,5,3.746
21,2,2.06
22,1,1.586
12,9,6.47
24,2,2.04
18,1,1.63
16,8,7.548
19,10,258.558
17,6,6.34
18,9,11.954
14,0,1.472
21,7,15.806
15,3,2.392
16,8,7.548
13,9,6.862
20,4,2.808
17,11,307.42
17,8,8.454
24,1,1.57
14,2,1.9
18,0,1.628
24,9,108.602
11,11,343.996
10,3,2.616
15,6,5.306
12,3,2.426
20,8,14.64
10,11,363.346
18,7,8.628
24,6,10.176
18,6,7.51
14,6,4.874
14,7,5.896
21,2,2.06
12,9,6.47
15,5,5.072
20,1,1.636
17,10,307.144
12,11,328.552
13,3,2.37
24,6,10.176
17,8,8.454
13,5,4.128
24,4,2.708
17,6,6.34
18,1,1.63
24,1,1.57
22,11,259.594
23,11,315.238
17,1,1.612
11,10,343.594
12,4,3.004
22,0,1.596
21,4,2.768
17,2,2.102
11,6,3.57
15,11,292.192
17,3,2.564
23,11,315.238
15,1,1.52
13,6,4.3
13,0,1.514
19,6,9.336
21,9,23.614
18,11,279.692
16,4,2.77
22,0,1.596
22,5,7.198
23,10,318.954
13,10,313.652
23,3,2.478
24,2,2.04
18,2,2.094
20,5,7.45
12,8,5.318
17,4,2.848
15,11,292.192
12,2,1.988
24,6,10.176
