new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,2,1,0,0,1,0,0,0,1,45.892
4,1,3,0,0,1,0,0,1,0,24.878
3,1,1,1,0,0,0,1,0,0,31.736
4,2,3,0,0,0,0,1,0,0,36.184
2,2,1,1,1,0,1,1,0,0,70.472
1,3,1,1,1,0,1,1,1,0,157.32
1,1,3,1,1,0,0,1,0,0,86.174
2,3,2,0,0,0,1,0,0,1,97.454
4,3,3,0,1,0,0,1,1,0,40.81
1,2,2,1,0,0,0,0,1,1,104.996
1,3,1,0,1,1,0,1,0,1,181.412
1,3,3,0,1,0,1,1,1,0,164.132
4,3,3,1,0,1,1,0,0,0,48.304
1,2,3,1,0,0,0,0,0,1,116.944
3,3,2,0,0,0,0,0,0,0,62.234
4,1,1,0,1,0,1,0,0,1,23.296
1,3,1,1,0,1,0,0,1,0,137.124
1,1,2,0,1,1,1,1,1,0,93.486
3,1,3,1,1,1,1,0,0,0,30.392
4,2,2,0,0,1,1,0,1,1,32.98
1,3,1,1,0,1,1,1,1,0,159.008
1,3,2,0,1,0,0,0,0,1,163.246
3,3,3,0,1,1,0,0,1,1,51.746
3,3,3,1,1,1,1,0,0,1,66.908
1,2,2,1,0,1,1,1,1,0,119.08
3,1,2,0,0,1,0,1,0,0,33.812
4,3,3,0,1,1,0,1,1,1,40.67
1,1,2,0,1,1,1,0,0,1,85.752
1,1,2,0,0,1,0,0,1,0,86.048
3,2,3,1,0,0,0,1,1,0,40.768
1,1,3,1,0,1,1,0,0,1,82.738
3,3,3,1,0,1,0,0,1,0,50.638
2,1,1,1,0,0,0,1,0,1,46.77
2,3,2,1,0,0,0,1,0,0,91.424
3,3,3,1,1,1,1,0,1,1,56.862
3,2,3,0,0,1,1,0,1,1,44.33
2,2,1,0,1,1,1,1,1,1,65.968
1,2,1,1,1,0,0,0,1,0,102.938
2,1,2,1,1,0,0,0,1,0,42.288
3,2,2,0,0,1,0,0,1,0,40.534
1,3,1,0,0,0,0,0,1,1,141.872
2,1,2,0,1,0,0,1,0,0,48.972
2,3,2,1,1,0,0,0,1,0,72.204
1,3,2,1,1,0,0,0,1,0,136.418
1,3,1,0,1,1,0,1,1,1,152.758
4,3,1,1,0,1,0,1,0,0,47.058
2,1,1,1,1,0,0,0,0,1,41.95
2,1,2,0,0,1,0,0,1,0,46.272
1,2,3,1,1,1,1,0,1,1,111.308
2,3,3,1,0,0,0,1,1,0,77.526
3,1,2,1,1,0,0,1,0,0,30.79
4,1,2,1,0,0,1,0,1,1,23.184
1,2,3,0,0,0,1,0,0,1,131.808
2,1,2,1,0,1,0,1,0,1,46.984
1,2,1,1,0,1,1,0,1,0,111.708
4,1,1,0,0,1,1,0,0,1,24.206
4,1,3,0,1,0,0,1,0,0,24.88
4,1,3,1,0,0,1,1,1,0,23.65
1,2,3,1,0,1,0,0,1,1,105.328
2,2,2,1,0,0,1,0,0,0,66.428
4,1,2,0,1,0,1,0,0,0,24.13
1,1,1,0,1,1,0,1,0,0,92.664
1,3,1,0,0,1,1,0,0,1,181.678
2,1,2,1,1,0,0,0,1,1,42.344
1,3,1,0,0,1,1,0,0,1,181.678
4,3,2,0,0,1,0,0,0,0,46.236
2,1,1,0,1,1,1,1,1,0,49.424
1,3,2,0,0,0,1,0,1,0,156.338
2,2,1,0,1,0,1,1,0,0,74.632
2,1,1,1,0,1,0,0,0,0,42.878
2,1,2,1,1,0,0,0,0,1,42.21
4,2,1,1,0,1,0,0,0,1,31.624
4,2,1,0,0,0,1,1,1,1,33.658
4,2,2,0,0,0,1,0,0,1,36.528
2,2,2,0,0,1,1,0,0,0,70.626
2,3,1,1,0,1,1,1,1,0,84.682
2,2,1,1,1,1,0,0,0,0,60.89
2,3,1,0,1,1,1,0,1,1,83.014
4,3,2,1,1,0,1,1,1,0,42.628
3,2,1,1,0,0,0,1,0,1,46.942
2,1,3,1,1,1,1,1,1,1,46.24
3,1,2,0,1,0,1,0,1,0,31.638
1,2,3,0,1,1,1,0,0,0,130.226
2,1,2,0,0,1,1,0,0,1,46.638
1,2,3,0,0,1,1,1,1,0,124.814
1,3,2,1,0,0,1,0,0,0,172.148
4,1,2,1,0,0,0,0,1,0,23.148
1,2,2,0,1,1,0,1,1,0,118.212
1,1,2,0,0,0,1,1,1,1,95.364
1,1,3,1,0,0,1,0,1,1,82.818
1,3,1,1,0,0,0,0,0,1,157.142
2,1,2,0,0,1,1,0,1,1,46.69
3,1,3,1,1,0,1,1,0,1,31.128
4,1,2,0,1,0,1,0,0,1,24.04
1,3,2,0,1,1,0,0,1,1,141.344
3,1,3,1,1,0,0,0,1,1,29.71
4,1,2,1,0,0,0,1,0,1,23.72
4,3,1,1,1,1,0,0,1,0,36.996
2,2,2,0,0,1,1,0,0,0,70.626
4,2,1,0,0,1,1,0,0,0,36.114
