new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,2,2,0,1,0,0,1,0,1,70.79
3,1,2,0,0,1,0,1,1,0,33.714
1,3,1,1,0,1,1,0,0,0,172.216
1,2,2,1,1,0,0,1,0,1,126.302
3,3,2,0,0,0,0,1,1,0,55.026
4,2,1,1,0,0,1,0,0,0,34.074
2,1,2,0,0,0,0,0,0,0,45.946
2,1,2,1,0,0,1,0,0,0,43.904
2,1,2,0,0,1,0,0,1,0,46.272
4,2,2,0,0,1,1,1,0,0,38.696
3,2,3,0,0,1,1,0,1,1,44.33
4,1,3,1,1,0,1,0,1,0,23.474
2,3,3,1,0,0,0,0,0,0,84.506
1,3,3,0,0,0,0,0,1,1,142.656
1,3,2,0,1,0,1,1,0,0,191.876
3,3,1,0,1,1,1,0,0,0,69.344
2,3,1,0,0,0,1,0,0,1,96.878
2,3,3,1,0,1,1,0,1,0,81.794
4,3,1,0,0,1,0,1,0,1,49.482
4,2,3,0,0,0,1,0,0,0,37.02
3,3,2,1,0,1,0,1,1,1,52.842
1,2,3,0,1,0,1,1,0,1,140.696
1,3,1,1,1,0,1,1,0,0,183.172
2,1,1,0,0,1,0,0,0,0,45.67
2,1,2,1,1,1,0,0,0,0,42.406
3,3,1,0,1,1,0,1,1,1,54.514
3,3,1,0,1,0,0,0,1,0,50.95
2,1,2,0,0,0,1,1,0,1,50.474
3,1,2,0,0,0,1,1,0,0,34.17
3,1,2,0,0,0,1,0,0,1,32.2
4,2,3,0,1,0,1,1,1,0,33.452
4,1,3,1,1,0,1,0,0,0,23.358
3,2,1,1,1,1,1,1,1,0,43.236
1,2,2,0,0,1,0,0,0,1,123.802
1,3,1,0,0,0,0,1,1,1,153.452
4,2,2,0,0,0,1,1,1,1,33.784
3,3,3,0,1,0,0,0,0,0,61.386
4,1,1,1,1,1,1,0,0,1,21.714
4,1,3,1,0,0,0,1,1,1,23.704
3,2,3,1,0,0,0,1,0,1,47.028
1,3,3,0,0,1,0,0,0,1,167.346
2,1,2,0,1,1,1,1,1,0,49.316
3,3,3,1,1,1,1,1,0,1,71.098
2,3,1,0,1,1,1,0,0,1,95.76
4,1,1,0,1,1,1,1,1,0,24.974
3,1,2,1,1,0,1,1,0,0,31.054
4,1,2,0,1,0,1,1,0,1,25.094
3,1,1,0,1,1,1,0,0,0,31.038
4,3,3,1,0,0,1,0,0,1,48.498
4,2,2,1,0,1,1,1,0,1,36.598
1,2,3,0,1,0,1,1,0,1,140.696
3,3,2,1,1,0,1,0,1,0,56.952
2,3,1,0,0,0,0,1,0,1,96.284
4,1,3,0,0,0,0,0,1,0,25.014
1,3,2,1,0,1,1,0,1,0,151.24
2,3,3,0,1,0,1,1,0,1,103.418
2,2,3,1,1,0,0,0,1,1,55.532
4,1,2,0,1,0,1,1,0,0,24.78
4,2,2,0,1,1,1,1,1,1,33.676
4,1,1,1,0,1,1,0,1,1,22.522
3,1,2,0,1,1,1,1,0,1,33.59
2,2,2,1,0,0,0,0,0,1,62.026
2,1,2,0,0,1,0,1,0,0,49.786
2,2,2,0,0,0,1,0,1,0,63.17
4,2,2,0,1,0,1,0,0,1,35.892
1,3,3,1,0,1,1,1,0,0,185.71
2,2,2,1,1,1,1,1,1,1,62.532
3,3,3,1,1,0,1,0,1,0,57.312
3,1,3,0,1,0,0,1,0,1,33.34
1,2,2,0,0,1,1,1,0,0,141.49
2,1,1,1,1,0,0,1,1,0,45.748
3,3,1,1,0,1,1,1,0,1,71.736
3,1,1,1,0,0,0,0,1,1,29.334
1,1,2,1,1,0,0,1,1,0,86.052
3,3,3,1,0,1,0,0,1,1,50.262
4,2,2,1,0,0,0,0,0,0,32.322
4,1,3,1,1,0,0,0,1,0,23.06
4,2,3,1,1,0,0,0,0,1,32.32
4,2,3,1,1,0,1,0,1,1,31.034
1,2,1,1,1,0,0,1,0,0,125.826
2,2,1,0,0,1,1,0,1,0,62.098
4,3,3,1,1,1,1,1,0,1,50.434
1,2,3,1,1,1,1,0,1,1,111.308
4,2,3,1,1,1,0,1,0,1,34.324
2,2,2,1,0,1,0,0,1,0,56.444
4,2,2,0,0,0,1,1,0,0,38.082
1,2,1,0,1,0,1,1,1,0,124.142
2,3,3,1,0,0,0,1,1,0,77.526
2,3,1,0,1,1,1,0,0,1,95.76
4,1,3,0,0,1,1,1,1,0,25.212
4,3,3,0,1,1,1,0,0,1,49.926
3,3,3,1,1,1,0,1,1,1,52.128
3,2,2,0,0,0,1,1,0,0,53.96
4,2,1,1,0,0,0,0,1,0,28.516
3,3,2,1,1,0,1,1,1,0,58.982
4,1,3,0,0,0,0,1,1,0,24.85
2,1,3,0,1,1,1,0,1,0,46.434
2,2,2,1,0,1,0,1,1,1,59.654
1,2,3,1,0,0,0,0,1,0,105.714
1,1,2,0,0,0,0,0,0,0,86.002
