WindowSize,CompressionLevel,Performance
17,7,7.636
23,11,315.238
23,0,1.556
13,0,1.514
16,1,1.598
21,5,7.272
10,11,363.346
12,2,1.988
14,10,301.488
20,8,14.64
24,3,2.478
23,9,63.68
17,9,10.152
23,6,10.22
17,2,2.102
18,1,1.63
15,7,6.39
21,6,10.46
20,0,1.63
19,8,11.508
22,1,1.586
23,6,10.22
10,11,363.346
15,8,6.738
10,4,3.02
24,0,1.574
19,1,1.604
19,5,7.372
15,5,5.072
23,11,315.238
16,6,5.77
14,10,301.488
16,2,2.026
23,0,1.556
13,7,5.554
19,7,10.05
12,0,1.528
17,0,1.606
16,8,7.548
20,6,10.658
24,0,1.574
24,7,20.228
23,1,1.572
14,1,1.46
10,1,1.666
17,2,2.102
18,3,2.562
24,9,108.602
23,6,10.22
13,0,1.514
18,1,1.63
15,11,292.192
19,1,1.604
21,0,1.604
24,6,10.176
14,3,2.302
22,5,7.198
16,6,5.77
14,5,4.678
17,9,10.152
14,10,301.488
18,1,1.63
19,5,7.372
17,10,307.144
13,3,2.37
22,11,259.594
14,4,2.894
24,11,394.158
12,9,6.47
21,11,244.72
10,2,2.146
23,7,20.474
18,6,7.51
13,0,1.514
23,7,20.474
11,11,343.996
15,2,1.972
13,8,5.62
18,10,279.698
11,7,5.078
21,3,2.512
12,0,1.528
13,2,1.942
23,9,63.68
24,5,7.154
22,11,259.594
20,1,1.636
10,5,3.306
21,9,23.614
21,0,1.604
20,1,1.636
16,7,6.998
13,0,1.514
21,7,15.806
17,1,1.612
17,9,10.152
13,11,315.078
15,9,8.084
23,1,1.572
12,10,328.816
