topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,4,1000000,1,0,1,10,512,100,2,0,0.00138491141061
2,1,4,1000000,1,1,1000,1000,512,100,5,29,2.0
2,1,4,10,10,1,1000,1000,1024,100,2,29,2.0
2,10,4,1000000,10,1,1,10,1024,10000,5,0,2.0
2,1,4,1000000,1,0,1,1000,512,100,5,29,2.0
4,1,2,1000000,10,1,1000,10,512,100,5,0,2.0
2,10,2,10,10,0,1,1000,1024,10000,5,0,0.135519777543
2,1,2,10,10,0,1,10,512,100,2,0,0.150621712197
4,1,2,10,1,0,1000,1000,512,10000,2,0,0.475834861911
4,10,2,10,1,0,1000,10,512,10000,2,0,2.0
2,1,2,1000000,1,1,1,1000,1024,100,2,0,2.0
2,1,2,1000000,10,0,1,10,1024,100,2,0,2.0
4,10,2,1000000,1,0,1,10,512,100,2,0,0.00286650788528
2,10,4,1000000,1,0,1,10,512,10000,2,29,2.0
2,1,4,10,10,1,1,1000,512,100,2,0,2.0
2,10,2,1000000,1,0,1,1000,1024,100,2,0,2.0
2,10,2,1000000,10,0,1,10,512,10000,2,0,2.0
2,1,2,1000000,10,1,1000,10,512,10000,5,0,2.0
2,1,2,10,10,0,1000,10,512,100,5,0,0.204363628441
4,1,2,10,10,0,1000,1000,1024,10000,5,0,0.20817247526
2,1,4,1000000,1,1,1000,1000,1024,10000,2,29,2.0
4,10,2,1000000,10,0,1,10,512,100,2,0,0.00247568234463
4,1,4,1000000,1,0,1,10,1024,10000,5,0,2.0
4,1,2,10,10,0,1000,1000,1024,10000,5,0,0.20817247526
4,1,2,1000000,10,1,1,1000,512,10000,2,0,0.00525367573464
4,1,4,1000000,10,0,1000,10,512,10000,5,29,2.0
2,10,2,10,10,0,1000,10,512,100,2,29,0.803372538446
2,1,4,1000000,1,1,1,10,512,10000,2,0,2.0
4,1,4,1000000,10,0,1000,1000,1024,10000,5,29,2.0
4,10,2,1000000,1,0,1000,1000,512,100,2,0,2.0
4,10,2,1000000,1,0,1,10,512,100,5,29,0.000905571374685
4,1,2,10,10,1,1,1000,512,100,5,29,2.0
2,1,4,10,1,1,1000,10,512,100,2,0,0.987025136755
2,1,2,1000000,10,1,1000,10,512,100,2,29,2.0
2,1,2,10,10,1,1000,10,512,100,5,29,0.333447721296
4,1,4,10,10,0,1,10,512,10000,5,0,2.0
2,1,2,10,10,1,1000,1000,1024,10000,2,29,0.760018138663
4,10,4,1000000,1,1,1,10,1024,10000,5,29,2.0
4,1,4,10,10,1,1,10,512,100,2,29,0.145896399911
4,1,2,1000000,1,0,1000,1000,1024,100,2,29,2.0
2,1,2,1000000,1,0,1000,10,1024,10000,2,0,2.0
4,1,2,10,10,1,1,1000,512,10000,2,29,0.14432492718
2,10,2,1000000,1,1,1,10,1024,100,5,0,0.00113979434678
4,10,2,1000000,1,1,1,1000,512,100,2,29,2.0
4,10,2,10,10,1,1000,10,512,10000,5,29,2.0
