new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,0,1,0,1,70,256,10,100525.6
2,0,0,0,0,0,128,6,82248.4
2,1,1,1,1,90,4,10,113820.4
3,0,1,1,1,100,1024,10,48350.0
4,0,1,1,0,0,64,0,35645.6
5,1,0,1,0,20,32,4,9272.6
5,0,0,1,1,40,16,10,299894.0
5,1,0,1,1,50,32,4,9237.4
2,0,0,1,0,20,32,6,92605.0
3,1,1,1,0,60,2,10,48778.8
2,0,1,0,1,90,1024,8,100392.8
1,1,1,0,1,30,1,6,78498.8
2,1,0,0,0,30,512,8,100627.4
4,0,1,0,1,80,64,8,39599.8
2,1,0,1,0,90,128,8,102888.2
1,1,1,0,0,50,8,2,17863.8
4,1,0,0,1,90,2,6,26484.4
3,1,1,1,0,20,1,8,42659.8
4,0,1,0,0,80,1024,2,8910.6
2,1,1,0,1,0,128,2,11377.4
4,1,0,0,1,90,128,8,39384.0
5,0,0,0,1,70,4,2,9199.2
4,0,1,1,1,90,512,4,43500.6
2,0,1,1,1,30,2,4,13289.8
5,0,1,1,1,90,4,6,47330.0
5,1,1,0,0,70,4096,4,9148.6
2,1,1,0,0,10,4096,6,87917.4
3,1,0,0,1,70,8,6,11965.8
2,0,0,1,0,90,16,8,105592.2
2,0,1,1,0,100,2048,10,102739.8
4,0,1,1,1,90,64,2,35824.0
5,1,1,1,0,20,4,8,121104.6
5,0,0,1,1,20,1024,10,299898.0
3,1,0,1,1,20,32,2,12112.8
1,1,0,1,0,10,8,2,17686.0
2,0,1,0,0,50,4,8,80993.6
1,0,1,1,1,80,256,10,102855.2
2,1,0,0,0,100,2048,0,4683.0
4,1,1,1,0,10,64,10,414798.8
3,0,0,0,0,10,4,10,47149.4
5,1,0,0,1,50,1,8,121204.8
5,1,1,0,0,0,128,10,299742.6
5,0,0,1,0,70,2048,10,299420.6
3,1,1,1,1,30,16,0,12134.0
1,1,1,1,0,90,128,10,103324.4
2,0,1,1,1,50,4,8,113975.0
3,1,0,0,0,40,2048,8,38097.6
5,1,1,1,1,100,2,10,298766.8
1,0,1,1,1,80,2048,4,11779.2
4,0,1,1,0,30,128,10,414347.2
1,0,1,0,0,40,4096,10,101819.0
2,0,0,1,0,40,16,8,105551.0
5,0,1,0,0,30,8,8,121196.8
4,1,0,1,1,80,1,4,42791.2
3,0,1,1,0,10,128,6,11639.2
2,0,0,1,1,50,4096,6,90974.6
5,0,1,1,0,60,2,10,299281.4
1,1,1,1,1,20,1,8,125352.6
4,0,0,1,1,30,1,2,35882.4
3,0,0,1,0,10,1024,6,11709.8
3,0,0,0,0,0,2048,2,15926.2
4,0,1,1,0,60,1024,2,35792.0
1,0,1,1,1,30,64,6,91394.0
4,1,0,1,1,70,128,10,414467.0
3,0,0,1,1,10,32,4,12513.0
5,0,1,0,0,60,1024,8,122272.6
4,0,0,1,0,90,4096,0,35722.6
3,0,1,0,1,10,32,8,39245.0
1,1,0,1,0,90,8,10,109418.8
4,1,0,0,0,30,1024,0,9021.8
2,1,0,0,1,60,8,0,5171.2
1,1,0,0,1,0,16,10,85187.6
5,1,0,0,1,20,128,8,121102.4
1,0,0,0,1,0,64,6,81897.8
5,1,1,1,1,100,4,4,9203.0
1,1,1,0,1,80,4096,4,11874.8
5,0,0,0,0,90,1,4,9151.0
5,0,1,0,0,90,32,10,299501.0
2,1,1,1,0,40,32,6,91633.0
5,1,1,0,1,90,8,0,9183.6
4,1,0,0,0,90,4096,4,12803.2
2,1,1,1,1,100,512,4,11883.0
5,0,1,1,1,10,2048,6,47561.0
2,1,1,1,1,20,4,2,17628.2
4,1,1,1,1,60,64,4,43591.4
2,1,1,1,1,40,4096,10,103031.0
5,1,1,1,1,100,1,10,300618.6
3,0,0,1,1,100,4,8,37423.2
3,1,0,1,0,70,1024,4,12107.0
2,1,0,1,0,100,1,0,17608.8
4,0,0,1,1,50,32,8,124585.0
2,0,1,0,1,100,64,8,101132.6
3,0,0,1,0,60,128,4,12153.2
5,0,1,1,1,0,4,0,9278.2
5,1,1,1,1,10,512,2,9206.4
4,1,0,1,1,60,16,6,49500.0
2,1,0,1,1,30,16,10,105001.6
2,0,1,1,0,0,64,6,123861.8
4,1,1,0,0,30,32,8,41612.0
1,1,1,1,0,50,2048,0,17749.8
