spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,0,0,0,1,1,1,1,0,1,0,1,1,0,0.00695134061569
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.994041708044
1,1,0,1,1,1,0,0,0,1,0,0,1,0,0.993048659384
1,0,1,1,0,1,0,0,0,0,0,1,1,1,0.993048659384
1,0,1,0,0,0,0,1,1,1,1,1,0,0,0.994041708044
1,1,1,1,0,1,1,1,0,0,0,1,0,1,0.179741807349
0,1,0,0,1,1,0,0,1,1,1,0,1,0,0.0188679245283
0,1,1,0,1,0,0,0,1,1,0,1,0,1,0.00993048659384
0,0,1,0,1,0,1,0,1,1,1,0,1,0,0.00695134061569
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.00695134061569
1,0,1,0,0,1,0,0,1,0,0,1,1,1,0.992055610725
1,0,1,0,1,0,0,1,0,1,1,1,0,1,0.994041708044
1,0,0,0,0,0,1,1,0,0,1,1,1,1,0.992055610725
0,0,1,0,1,1,0,1,0,1,1,1,0,1,0.00695134061569
0,1,1,0,1,0,1,1,0,0,0,0,1,0,0.0218470705065
1,0,0,0,1,1,0,1,0,1,1,0,0,1,0.993048659384
1,0,1,0,0,1,1,1,0,1,1,1,0,0,0.994041708044
1,0,0,0,1,0,1,1,0,0,0,1,1,0,0.994041708044
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.000993048659384
0,0,0,1,1,1,0,0,1,0,1,1,0,0,0.00695134061569
1,1,1,1,1,0,1,1,1,1,1,0,0,1,0.994041708044
1,0,0,0,0,1,0,0,0,1,1,1,1,1,0.992055610725
0,0,1,1,1,1,1,0,1,1,1,0,0,0,0.00695134061569
1,1,0,0,0,1,0,0,1,0,1,0,1,1,0.992055610725
0,1,0,0,1,1,0,1,1,0,0,1,0,0,0.0198609731877
1,1,0,1,0,0,1,0,1,1,0,0,1,0,0.997020854022
1,1,0,1,1,1,0,1,0,1,0,0,0,0,0.993048659384
1,1,1,1,0,1,0,0,1,1,0,0,1,1,0.992055610725
0,1,0,0,1,0,0,1,0,1,1,1,0,0,0.00794438927507
0,1,0,0,1,0,0,1,1,0,1,1,1,1,0.00893743793446
1,0,1,0,0,1,0,1,0,0,1,0,0,1,0.992055610725
1,1,1,0,0,1,1,1,0,0,0,0,1,0,0.992055610725
1,0,1,1,1,1,1,1,1,1,0,0,0,1,0.994041708044
1,1,0,1,0,0,1,0,0,1,1,0,0,1,0.997020854022
0,1,1,0,1,0,1,1,1,0,1,0,1,1,0.0208540218471
1,0,0,1,1,0,0,1,1,1,1,0,0,0,0.994041708044
1,0,1,0,1,0,1,1,1,0,0,0,1,1,0.994041708044
1,0,0,0,1,1,1,1,0,1,0,0,1,1,0.993048659384
0,1,0,1,0,1,0,0,1,0,1,1,0,0,0.0139026812314
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0287984111221
0,1,1,0,1,0,1,0,0,1,1,1,0,1,0.0208540218471
0,1,1,0,1,0,0,0,0,1,0,1,0,1,0.0109235352532
1,1,0,0,1,1,1,0,0,1,1,0,0,0,0.994041708044
1,0,1,1,0,0,0,1,1,1,1,1,1,1,0.998013902681
1,0,1,0,1,1,0,1,1,1,0,1,1,0,0.994041708044
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0.993048659384
0,1,0,1,1,1,0,1,1,0,1,0,1,1,0.0178748758689
0,0,0,1,0,1,1,0,1,0,0,1,1,0,0.00695134061569
1,1,0,1,0,0,1,1,0,0,0,1,0,0,0.998013902681
0,1,0,0,1,0,1,0,0,1,1,0,0,1,0.0218470705065
0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.0168818272095
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.00695134061569
0,1,0,1,1,1,0,0,1,1,1,1,0,0,0.0188679245283
0,0,0,1,0,0,1,1,0,1,0,0,0,0,0.00397219463754
1,1,1,0,0,0,0,1,1,1,0,0,1,1,0.990069513406
1,0,1,1,0,1,0,1,0,0,0,0,0,1,0.992055610725
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0.994041708044
0,1,1,0,0,0,0,1,0,1,1,1,0,0,0.00297914597815
0,0,1,0,1,0,0,1,1,1,0,1,1,0,0.0287984111221
0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.00695134061569
0,1,1,0,0,1,1,0,0,1,1,1,0,1,0.0168818272095
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.0287984111221
1,0,0,0,1,1,0,1,1,1,0,0,0,1,0.994041708044
0,0,0,1,1,0,1,1,0,0,1,1,0,0,0.00297914597815
0,0,1,0,1,1,1,0,1,0,0,1,1,0,0.00695134061569
0,1,0,1,0,1,0,0,0,1,1,1,1,1,0.0148957298908
0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.00595829195631
1,1,1,0,0,0,1,0,1,0,1,1,1,0,0.994041708044
1,0,1,0,1,1,0,1,0,1,0,1,0,1,0.994041708044
1,0,1,0,1,1,1,0,1,1,1,1,0,1,0.992055610725
0,0,0,1,1,0,1,0,0,1,1,0,1,0,0.00297914597815
0,0,1,0,1,0,1,0,1,1,1,1,1,1,0.00595829195631
1,0,0,1,1,1,1,1,0,1,0,1,1,1,0.993048659384
1,0,1,0,0,0,0,0,1,1,1,1,0,1,0.994041708044
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.992055610725
0,1,1,1,0,0,0,0,1,1,1,0,1,1,0.00397219463754
0,0,0,1,1,1,1,1,1,1,1,0,0,1,0.00595829195631
1,0,0,0,0,0,0,0,1,1,0,1,1,0,0.992055610725
1,1,1,0,1,0,0,0,1,0,1,0,0,0,0.995034756703
1,0,1,0,1,1,1,1,1,0,0,0,0,1,0.993048659384
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0.992055610725
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0.994041708044
1,1,0,1,1,0,0,1,0,1,1,0,0,1,0.994041708044
1,0,1,1,1,1,0,0,0,1,0,1,0,1,0.992055610725
0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.000993048659384
0,1,1,0,0,1,1,1,1,0,0,1,1,0,0.0158887785501
1,1,1,0,0,0,1,1,0,0,1,1,1,1,0.994041708044
1,0,1,0,1,1,1,0,1,0,0,1,1,1,0.992055610725
1,1,0,1,0,0,1,0,1,1,1,0,1,1,0.997020854022
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0.0268123138034
1,0,1,0,1,0,0,0,0,1,1,0,0,1,0.995034756703
0,1,1,0,0,1,1,1,0,1,0,0,1,0,0.0168818272095
0,1,0,1,1,1,1,0,0,1,0,0,0,0,0.0148957298908
1,1,1,0,0,0,1,0,0,0,1,1,0,0,0.994041708044
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.993048659384
1,1,0,0,1,1,1,0,1,1,0,1,0,0,0.993048659384
0,1,0,1,1,0,1,0,1,1,0,1,1,1,0.00297914597815
1,0,0,0,1,0,0,1,1,1,0,0,0,1,0.994041708044
1,1,1,0,1,0,0,1,1,0,0,1,0,1,0.996027805362
0,1,1,0,1,0,1,0,1,1,0,1,1,1,0.0218470705065
