WindowSize,CompressionLevel,Performance
13,5,4.128
20,7,12.338
10,11,363.346
13,3,2.37
18,5,6.714
20,10,246.512
18,3,2.562
11,8,5.042
20,11,246.08
23,10,318.954
12,11,328.552
23,9,63.68
12,7,5.266
15,2,1.972
11,6,3.57
20,1,1.636
22,7,19.626
13,8,5.62
18,4,2.824
24,11,394.158
23,10,318.954
12,8,5.318
18,4,2.824
23,2,2.032
13,2,1.942
17,9,10.152
21,1,1.598
19,1,1.604
15,0,1.534
22,1,1.586
13,4,2.972
22,9,34.292
17,2,2.102
13,7,5.554
11,6,3.57
19,4,2.8
14,7,5.896
17,3,2.564
13,3,2.37
18,10,279.698
13,3,2.37
13,6,4.3
24,5,7.154
22,11,259.594
16,11,284.296
19,3,2.552
17,6,6.34
21,3,2.512
14,10,301.488
21,11,244.72
16,8,7.548
22,0,1.596
20,6,10.658
22,10,256.21
15,0,1.534
18,3,2.562
18,9,11.954
16,5,5.392
13,6,4.3
18,2,2.094
19,3,2.552
14,3,2.302
11,11,343.996
16,8,7.548
14,9,7.404
10,11,363.346
21,10,244.734
11,4,3.04
14,10,301.488
10,3,2.616
24,8,38.644
12,11,328.552
18,9,11.954
24,10,392.744
24,5,7.154
24,9,108.602
23,3,2.478
23,10,318.954
11,5,3.49
12,10,328.816
21,7,15.806
21,3,2.512
10,4,3.02
12,4,3.004
20,8,14.64
11,10,343.594
24,8,38.644
17,4,2.848
18,10,279.698
21,1,1.598
10,7,4.874
10,6,3.386
13,5,4.128
17,1,1.612
12,0,1.528
15,0,1.534
10,10,363.364
23,11,315.238
22,7,19.626
17,5,5.886
