WindowSize,CompressionLevel,Performance
22,4,2.748
18,2,2.094
24,8,38.644
12,11,328.552
17,10,307.144
18,4,2.824
22,9,34.292
16,3,2.508
12,10,328.816
12,4,3.004
12,7,5.266
18,9,11.954
14,7,5.896
14,11,301.078
16,3,2.508
23,8,37.284
18,7,8.628
19,6,9.336
14,0,1.472
18,0,1.628
19,1,1.604
14,4,2.894
21,0,1.604
16,0,1.59
24,10,392.744
11,10,343.594
24,8,38.644
20,4,2.808
22,2,2.05
18,4,2.824
17,8,8.454
17,4,2.848
10,10,363.364
19,7,10.05
20,4,2.808
14,6,4.874
19,1,1.604
14,2,1.9
13,0,1.514
18,9,11.954
20,5,7.45
11,11,343.996
12,0,1.528
12,1,1.542
22,10,256.21
23,4,2.726
16,3,2.508
15,4,2.834
18,10,279.698
16,2,2.026
21,9,23.614
11,10,343.594
22,8,25.432
15,5,5.072
16,5,5.392
20,4,2.808
21,2,2.06
14,8,6.086
15,6,5.306
13,0,1.514
23,4,2.726
10,11,363.346
22,6,10.266
23,0,1.556
23,4,2.726
10,0,1.662
23,7,20.474
22,2,2.05
14,2,1.9
21,1,1.598
10,5,3.306
14,0,1.472
19,8,11.508
13,3,2.37
12,2,1.988
13,10,313.652
18,10,279.698
10,5,3.306
19,2,2.1
16,6,5.77
11,6,3.57
10,2,2.146
18,3,2.562
20,10,246.512
14,6,4.874
18,2,2.094
10,6,3.386
15,0,1.534
21,9,23.614
16,5,5.392
16,10,285.0
10,6,3.386
22,4,2.748
16,2,2.026
10,0,1.662
18,4,2.824
17,4,2.848
14,1,1.46
24,2,2.04
22,4,2.748
