new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,1,0,0,20,256,10,124071.4
5,0,0,0,1,80,1,8,121499.2
4,1,1,0,1,70,4096,10,113950.8
5,0,1,0,0,100,4096,2,9215.8
1,1,1,1,1,100,16,8,105496.4
3,0,0,1,1,100,1,2,14200.0
1,0,1,0,1,100,128,2,17868.4
3,0,0,0,0,10,8,6,12119.4
2,1,1,0,0,10,128,4,5751.0
4,1,0,0,0,70,256,4,12872.2
5,1,0,1,1,80,256,6,47442.6
1,1,0,1,0,90,1,4,15278.4
1,1,1,1,1,60,2048,6,90850.8
3,0,0,0,1,0,32,8,44534.2
5,0,0,0,0,30,2048,2,9152.2
1,1,1,1,1,0,1024,0,17848.0
5,0,0,1,0,90,256,4,9191.0
5,0,0,0,1,40,4096,0,9155.6
4,1,0,1,0,20,4096,0,35764.2
3,0,0,1,1,100,64,10,48291.6
4,0,0,0,1,80,64,0,8937.0
1,1,1,1,1,60,4096,10,102606.4
2,1,0,1,0,50,1024,8,102913.6
2,1,0,0,1,80,4096,10,101959.0
1,0,1,0,0,90,1024,2,17688.4
3,1,0,1,1,60,4,6,13544.0
5,0,1,0,1,90,256,0,9173.2
3,0,1,1,1,60,32,6,10781.8
5,1,1,0,1,100,128,0,9222.0
3,0,0,0,0,10,1024,2,12492.4
3,0,0,0,1,90,1,0,14237.6
5,1,1,1,1,90,128,6,47616.2
4,1,1,0,1,80,32,4,12858.4
1,1,1,1,1,20,1024,8,103848.6
5,0,1,1,1,0,16,2,9236.4
3,1,0,0,0,100,512,10,48558.4
3,1,1,0,0,60,8,4,12505.2
4,1,1,1,1,70,32,6,49698.2
1,0,0,1,0,80,4,10,114007.4
5,0,0,1,0,50,512,10,299749.0
3,1,0,0,0,80,2,10,48950.6
4,0,0,0,1,100,128,10,110822.4
2,1,1,0,0,20,32,6,87297.8
3,0,0,0,0,10,64,6,11711.0
2,0,0,0,0,100,64,8,101635.0
5,0,1,1,1,20,64,8,121207.2
3,1,0,0,0,10,2,6,15657.0
2,1,1,0,1,0,1,4,18027.0
2,1,1,0,1,40,512,4,4599.8
1,0,1,0,0,30,2,0,17635.4
1,1,1,0,0,100,4,6,73260.6
4,1,0,1,1,60,2048,4,43658.0
1,1,1,1,0,90,512,8,103001.6
3,1,0,1,0,20,2,0,13038.2
5,1,0,0,0,60,32,8,121743.8
1,1,0,0,0,80,512,0,17849.4
4,0,0,0,0,0,1,8,75939.8
5,0,0,0,0,20,128,4,9187.2
4,0,0,1,0,40,1,8,123916.6
3,1,0,0,0,50,16,6,11513.8
1,1,0,1,1,0,2,0,17901.4
3,1,1,1,1,80,256,0,12091.8
1,0,0,1,0,90,128,10,103144.4
1,0,0,1,1,50,4096,0,17816.8
1,0,1,1,0,80,16,0,17733.6
3,1,0,0,0,60,64,0,12253.2
1,1,0,1,0,40,2,8,117663.6
4,1,0,0,0,40,32,0,8994.6
1,0,1,0,1,40,256,10,101831.4
2,0,0,1,1,90,4,8,113836.4
5,0,0,1,0,10,16,0,9206.4
2,0,0,0,0,10,4,10,81164.2
4,0,0,1,0,100,512,2,35775.0
1,0,0,1,1,80,256,8,102643.8
1,1,1,1,1,30,128,0,17704.2
5,1,1,1,0,100,1,2,9115.4
1,0,1,1,1,40,8,8,109440.8
4,0,1,1,0,100,1024,2,35980.2
5,0,1,1,0,30,1024,2,9163.0
5,0,0,0,0,40,2048,4,9157.8
5,1,1,1,0,10,2,0,9131.0
1,1,1,0,0,20,2048,6,89364.6
2,0,1,0,1,10,512,4,5740.8
4,0,0,1,1,0,32,2,35431.6
3,0,0,1,0,40,64,0,12153.8
1,1,0,1,0,80,2048,2,17767.4
2,1,0,1,0,30,128,8,103243.8
2,0,0,1,1,30,2048,6,91423.0
3,0,0,1,0,90,512,4,12198.0
4,0,0,0,1,0,128,6,27579.0
4,0,0,1,0,30,1,8,123825.6
2,0,1,1,1,70,256,2,17667.4
5,0,1,0,1,50,256,6,47591.2
3,1,1,1,0,70,16,8,37551.0
1,0,0,0,0,0,128,6,82097.6
5,0,1,1,1,100,8,6,47599.0
1,1,0,0,1,30,16,8,96797.0
5,0,0,1,0,10,512,8,121812.0
1,0,0,1,0,70,2,8,117483.6
4,0,1,0,0,100,8,6,22648.0
