WindowSize,CompressionLevel,Performance
19,8,11.508
20,2,2.088
11,6,3.57
15,9,8.084
16,2,2.026
23,11,315.238
24,9,108.602
14,6,4.874
11,7,5.078
13,3,2.37
24,0,1.574
13,5,4.128
11,2,1.998
23,7,20.474
24,2,2.04
20,8,14.64
17,2,2.102
14,3,2.302
13,7,5.554
18,9,11.954
12,3,2.426
20,1,1.636
13,11,315.078
18,0,1.628
22,10,256.21
13,7,5.554
16,3,2.508
22,6,10.266
10,9,6.246
10,5,3.306
19,8,11.508
18,10,279.698
20,8,14.64
15,6,5.306
12,3,2.426
22,8,25.432
13,6,4.3
12,5,3.746
22,8,25.432
14,7,5.896
18,9,11.954
21,9,23.614
14,11,301.078
14,3,2.302
16,4,2.77
17,10,307.144
22,0,1.596
21,9,23.614
12,0,1.528
24,1,1.57
16,7,6.998
23,0,1.556
23,3,2.478
16,10,285.0
18,7,8.628
17,8,8.454
12,2,1.988
15,3,2.392
11,7,5.078
21,4,2.768
14,9,7.404
22,10,256.21
21,11,244.72
22,4,2.748
15,7,6.39
10,8,5.046
22,8,25.432
15,7,6.39
20,9,17.4
11,4,3.04
15,5,5.072
19,6,9.336
19,3,2.552
17,9,10.152
22,8,25.432
18,9,11.954
16,8,7.548
11,10,343.594
14,4,2.894
11,11,343.996
10,0,1.662
13,2,1.942
24,8,38.644
19,1,1.604
14,4,2.894
19,7,10.05
21,8,18.874
21,4,2.768
21,6,10.46
10,9,6.246
23,6,10.22
15,5,5.072
24,11,394.158
22,3,2.5
12,4,3.004
22,4,2.748
13,8,5.62
16,8,7.548
16,11,284.296
10,2,2.146
