fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,0,1,256,2,256,46342.0
1,0,0,1,0,64,2,1024,130483.0
0,0,0,1,0,128,32,4096,46365.0
1,0,1,0,1,128,2,1024,135485.6
0,1,1,0,1,256,2,1024,46256.8
1,1,0,1,0,256,8,4096,133120.6
0,0,1,0,0,64,32,4096,46191.2
1,0,0,0,1,256,32,4096,129652.6
1,1,0,0,0,128,2,1024,133545.6
0,1,0,0,1,64,2,4096,46135.0
0,0,1,1,1,128,32,4096,46593.6
1,1,0,0,1,64,8,4096,133183.8
1,1,0,1,0,64,32,256,133072.4
1,1,0,1,0,64,32,1024,132685.0
1,0,0,1,1,256,8,256,135852.4
1,0,1,0,0,256,2,4096,134997.4
1,1,1,0,1,256,32,256,129297.0
0,1,0,1,0,256,8,1024,46598.6
1,1,1,0,0,64,2,4096,135253.6
1,0,0,0,1,256,2,4096,132963.8
1,0,0,1,0,256,8,256,134239.4
1,0,1,0,1,128,32,256,134666.4
0,0,0,0,1,256,8,4096,46282.0
1,0,1,1,0,64,2,256,140491.6
1,0,0,1,1,64,8,4096,134738.4
0,1,1,0,1,128,8,1024,46188.8
1,0,0,1,0,128,2,256,132275.4
0,1,0,1,1,128,32,1024,46648.6
1,0,1,1,1,64,8,4096,136839.6
0,1,1,1,0,256,32,1024,46477.8
0,1,0,0,0,64,8,256,46403.8
1,0,1,1,0,128,8,1024,138096.8
0,0,0,0,0,256,32,1024,46256.6
1,0,0,1,1,128,32,1024,135249.8
0,1,0,0,0,128,32,256,46158.4
1,0,0,0,0,64,8,4096,130604.8
0,0,0,1,0,256,8,256,46388.8
0,0,0,0,0,128,32,4096,46476.2
0,0,0,1,1,64,8,1024,47331.0
0,0,1,0,1,64,8,4096,46345.6
0,1,0,0,1,64,2,1024,46267.8
0,0,1,1,0,64,8,256,46557.4
0,1,1,1,1,128,2,256,46463.2
1,1,0,1,1,256,8,4096,131693.0
0,1,1,0,1,256,8,256,47092.0
0,1,0,0,1,128,2,4096,46277.6
1,0,1,0,1,256,8,256,134102.0
0,1,0,0,1,64,32,4096,46295.6
0,1,1,1,1,256,8,1024,46674.6
1,0,1,0,0,128,2,4096,138294.4
1,0,1,1,0,128,8,1024,138096.8
0,1,1,1,0,256,8,4096,47064.8
1,1,0,1,1,256,8,4096,131693.0
1,0,1,0,0,64,32,256,137127.0
1,0,0,0,0,128,8,4096,135612.4
0,0,1,1,0,256,32,256,46622.6
1,1,0,1,1,256,2,256,131228.6
1,0,1,1,1,64,8,256,138112.8
1,0,1,1,0,256,2,256,140950.6
1,0,1,1,0,256,8,4096,135527.8
1,1,1,0,1,64,2,4096,131156.6
1,1,1,0,1,64,2,4096,131156.6
0,0,1,1,1,256,2,1024,47568.6
0,1,0,0,0,64,32,1024,46224.0
0,0,1,0,0,256,2,256,46199.6
0,1,1,0,1,128,8,4096,46460.8
0,0,0,1,1,256,8,256,46222.8
1,0,0,1,1,256,32,1024,135168.4
0,0,0,0,0,64,8,1024,46349.4
0,0,0,1,1,256,32,4096,46507.4
1,1,1,0,1,128,8,1024,132620.2
1,0,1,0,1,128,2,1024,135485.6
1,1,1,0,0,256,32,4096,131082.0
1,1,1,0,1,256,8,256,132414.6
1,1,1,0,1,64,8,1024,127709.6
1,1,0,0,0,128,32,256,131583.0
0,0,1,1,1,128,32,4096,46593.6
0,0,1,0,0,64,32,256,46180.0
0,0,1,0,0,64,32,256,46180.0
1,0,0,1,1,64,32,4096,134370.8
0,1,1,0,1,128,8,4096,46460.8
1,1,0,0,1,64,32,256,132894.8
1,1,0,0,0,128,32,1024,133666.2
0,0,0,0,1,256,2,256,46214.2
0,1,0,1,0,128,2,256,46584.8
0,0,1,1,0,64,8,256,46557.4
1,1,1,0,1,128,8,1024,132620.2
1,1,1,0,1,128,8,1024,132620.2
0,0,0,0,1,128,8,4096,46212.2
1,1,0,1,1,128,2,1024,127180.0
0,1,1,1,1,128,2,256,46463.2
0,0,1,1,1,64,32,1024,46610.2
1,1,1,1,0,64,32,4096,128959.6
1,1,0,0,0,256,32,1024,131767.4
1,1,1,1,0,256,2,256,129518.8
0,1,0,0,0,256,32,4096,46039.0
0,0,1,0,0,256,8,256,46381.6
1,1,1,0,0,256,2,256,129738.2
1,0,1,1,1,128,2,256,141082.4
0,0,1,0,1,256,8,4096,46508.6
