new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,0,0,1,1,10,64,4,9195.0
3,0,0,0,1,100,16,0,12226.0
2,1,1,1,1,70,2048,8,102941.4
3,1,1,1,0,0,512,6,20893.2
3,1,1,1,1,0,8,4,16010.2
5,0,1,1,1,70,128,8,121387.4
2,1,1,1,1,40,64,6,91221.4
5,0,1,1,1,50,2048,2,9191.4
3,0,1,0,1,70,512,6,10767.6
2,0,1,0,0,20,8,0,5310.4
4,0,0,1,1,100,2,6,48886.2
1,0,0,0,0,70,128,8,100505.8
1,0,0,0,1,70,1024,8,100520.2
1,0,0,0,0,20,1,6,78965.4
1,1,0,0,0,40,1024,6,89701.2
5,1,1,0,0,70,256,0,9180.4
2,0,0,1,0,60,1,6,116361.4
1,0,1,1,1,50,16,6,93767.8
5,1,0,1,0,50,4096,10,302868.2
3,0,1,1,0,100,64,4,12132.4
2,1,1,1,1,30,16,0,17600.8
2,0,0,0,1,20,8,10,86203.0
3,0,0,0,1,10,64,0,12400.4
2,1,0,1,1,50,2,8,117501.6
3,1,0,0,0,10,128,8,39383.6
3,0,0,1,0,40,4,8,37630.0
5,1,1,1,0,100,16,0,9109.6
5,1,0,0,0,10,2,2,9141.2
4,0,0,1,0,100,32,4,43587.4
1,0,0,1,0,50,64,4,11802.4
5,0,0,0,1,90,16,6,47651.2
5,1,1,0,0,60,1,0,9163.8
5,1,1,0,1,30,2048,8,121884.4
4,1,0,0,1,30,16,8,42448.0
4,1,0,0,1,70,128,2,8919.0
2,0,0,0,0,80,256,6,85450.8
5,1,0,0,0,50,4,4,9181.4
3,0,1,0,1,90,8,8,37398.2
2,1,1,0,1,60,2048,10,101516.2
1,1,1,0,0,0,16,8,85166.4
1,1,0,0,1,80,2048,8,101416.0
5,1,0,0,1,50,1024,8,121801.8
4,0,0,1,1,60,4096,8,124495.0
2,1,1,1,0,100,4096,4,11758.6
2,0,1,1,0,90,32,0,17702.6
5,1,1,0,0,100,1,8,121225.2
3,0,0,1,1,90,4,10,47002.8
4,0,1,1,1,30,128,10,416871.0
5,1,0,0,1,50,1024,6,47397.2
2,0,1,1,1,0,64,0,17819.0
3,1,0,0,0,50,16,2,12289.4
2,0,1,1,1,30,1024,4,12014.4
3,0,0,0,1,80,1,2,14221.6
1,1,1,0,1,60,4096,10,101634.8
4,0,1,0,1,80,1024,0,8896.8
4,1,0,1,0,40,2048,4,43509.2
5,0,0,0,0,50,4,0,9185.8
5,1,0,1,0,90,512,2,9242.4
2,0,1,1,0,100,64,6,90723.4
3,0,1,1,0,50,2048,2,12238.6
2,1,0,0,1,30,128,8,100575.6
2,0,1,1,0,100,32,6,91638.6
2,1,1,1,1,60,1024,4,11948.8
1,1,1,1,1,0,2048,4,18457.8
1,1,1,1,1,10,32,6,93969.4
4,1,1,0,1,50,2,0,9519.4
3,1,0,0,0,80,128,8,38142.8
2,0,1,0,0,50,4096,4,4522.0
1,0,0,0,0,30,512,8,100549.8
5,1,0,1,1,30,512,6,47646.8
2,0,1,1,0,10,1024,8,105503.2
2,1,1,1,0,0,32,8,131710.0
3,0,1,1,1,90,8,8,37329.0
4,0,1,0,0,0,4096,2,11869.6
1,0,1,1,1,70,2048,4,11823.6
5,0,0,0,0,10,4,8,121426.8
5,0,1,0,0,0,1024,6,47735.4
2,0,0,0,1,40,8,10,85990.8
5,0,0,1,0,0,4096,6,47438.4
3,1,1,0,1,50,2,4,13129.2
1,0,0,0,0,20,512,2,17724.0
5,0,0,0,0,100,32,0,9132.4
2,0,0,1,0,60,256,0,17738.8
3,0,1,0,1,100,1,10,50171.0
1,0,0,0,0,70,64,8,101596.6
4,0,0,0,0,90,4,6,23279.0
3,0,1,1,1,100,128,10,48330.0
2,1,0,0,1,90,4096,2,4700.4
2,0,1,1,1,10,1,2,17584.8
3,0,1,1,0,100,8,4,12428.8
4,0,1,0,1,50,4096,10,113776.8
1,0,0,1,0,100,2,8,117520.4
1,0,1,0,1,10,128,6,88195.6
1,0,0,1,1,90,16,0,17747.2
1,0,0,1,1,100,8,0,17692.4
2,1,1,1,0,40,2,6,107575.4
2,1,0,0,1,40,256,2,4881.0
5,1,1,1,1,50,256,6,47590.0
1,1,1,0,0,20,4096,10,100951.6
4,0,0,0,0,100,16,0,8984.6
