ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,78979.6
1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,67111.4
1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,92430.2
1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,85453.0
0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,79133.2
1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,93602.0
1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,89527.0
0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,81249.0
1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,72261.6
0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,75133.8
1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,76175.2
0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,81663.8
0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,78405.8
1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,78956.2
1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,82315.0
0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,72493.0
1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,92739.4
0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,80145.8
0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,71060.4
1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,68480.6
1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,73471.8
1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,89831.2
1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,64256.2
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,63446.8
1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,83708.0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,56536.8
1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,68053.4
0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,89878.4
0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,65835.8
1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,81376.2
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,63335.8
0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,89620.8
1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,72145.4
1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,90207.2
0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,86403.4
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,70464.8
0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,68559.0
0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,87197.6
0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,76351.6
0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,86923.2
0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,75676.8
0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,94674.6
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,66781.4
0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,70586.8
0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,92924.0
0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,74268.8
0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,82521.2
1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,65497.2
0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,69667.4
0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,85736.0
1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,72488.4
0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,84006.6
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,81443.4
1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,92367.6
1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,74411.8
1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,70547.6
0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,64338.2
1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,66265.8
0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,82128.2
0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,74124.0
0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,80277.0
0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,85947.0
0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,67396.2
1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,66463.4
1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,87518.2
0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,85739.0
1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,76138.0
1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,81380.0
0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,82880.2
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,73234.2
1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,67287.2
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,62867.0
0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,64479.2
0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,85403.4
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,77142.0
1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,87118.0
0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,74920.6
1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,81794.4
