WindowSize,CompressionLevel,Performance
10,8,5.046
12,4,3.004
19,3,2.552
24,6,10.176
15,10,291.618
17,10,307.144
11,5,3.49
17,0,1.606
23,4,2.726
10,7,4.874
14,2,1.9
21,3,2.512
16,7,6.998
10,11,363.346
10,3,2.616
14,4,2.894
10,3,2.616
11,3,2.476
10,11,363.346
23,11,315.238
15,1,1.52
24,2,2.04
12,0,1.528
24,1,1.57
10,11,363.346
19,9,14.048
18,4,2.824
16,2,2.026
12,2,1.988
24,0,1.574
24,0,1.574
12,1,1.542
23,5,7.178
15,3,2.392
15,8,6.738
14,7,5.896
16,7,6.998
20,7,12.338
24,7,20.228
20,0,1.63
18,9,11.954
14,10,301.488
19,5,7.372
22,2,2.05
19,9,14.048
17,11,307.42
18,7,8.628
17,5,5.886
19,3,2.552
19,6,9.336
17,8,8.454
21,3,2.512
24,4,2.708
13,11,315.078
16,2,2.026
23,0,1.556
16,1,1.598
18,11,279.692
19,0,1.614
21,6,10.46
12,5,3.746
19,5,7.372
22,7,19.626
18,3,2.562
13,9,6.862
21,6,10.46
23,11,315.238
15,3,2.392
10,9,6.246
21,6,10.46
12,9,6.47
19,9,14.048
12,9,6.47
20,9,17.4
15,11,292.192
24,4,2.708
15,0,1.534
23,11,315.238
23,5,7.178
10,10,363.364
19,2,2.1
23,0,1.556
19,3,2.552
13,5,4.128
13,1,1.514
20,5,7.45
15,8,6.738
18,9,11.954
13,2,1.942
21,2,2.06
10,11,363.346
21,0,1.604
21,2,2.06
15,6,5.306
18,1,1.63
21,11,244.72
20,8,14.64
13,9,6.862
14,7,5.896
22,0,1.596
