WindowSize,CompressionLevel,Performance
15,10,291.618
10,7,4.874
17,7,7.636
23,7,20.474
18,5,6.714
18,10,279.698
19,10,258.558
14,0,1.472
10,7,4.874
20,9,17.4
19,8,11.508
12,3,2.426
13,0,1.514
14,1,1.46
16,5,5.392
10,0,1.662
21,9,23.614
11,0,1.526
18,8,9.684
19,7,10.05
16,0,1.59
20,0,1.63
15,4,2.834
19,10,258.558
24,10,392.744
16,4,2.77
11,7,5.078
13,5,4.128
24,2,2.04
23,4,2.726
15,5,5.072
17,5,5.886
15,5,5.072
21,1,1.598
16,5,5.392
24,5,7.154
21,8,18.874
23,3,2.478
13,9,6.862
14,9,7.404
19,10,258.558
21,9,23.614
13,8,5.62
22,0,1.596
10,6,3.386
10,3,2.616
20,5,7.45
23,2,2.032
16,5,5.392
13,3,2.37
11,8,5.042
16,11,284.296
24,2,2.04
11,2,1.998
20,8,14.64
20,1,1.636
21,2,2.06
12,9,6.47
12,4,3.004
23,0,1.556
20,11,246.08
19,2,2.1
10,3,2.616
16,11,284.296
16,2,2.026
17,10,307.144
23,10,318.954
15,10,291.618
24,4,2.708
18,6,7.51
22,1,1.586
18,9,11.954
12,11,328.552
11,10,343.594
11,11,343.996
12,0,1.528
17,2,2.102
23,0,1.556
24,8,38.644
10,8,5.046
11,4,3.04
14,9,7.404
21,1,1.598
11,7,5.078
24,6,10.176
15,4,2.834
15,11,292.192
22,1,1.586
11,2,1.998
20,9,17.4
15,6,5.306
20,4,2.808
20,5,7.45
11,0,1.526
12,6,3.846
11,4,3.04
16,8,7.548
15,8,6.738
21,2,2.06
18,7,8.628
