WindowSize,CompressionLevel,Performance
11,3,2.476
15,5,5.072
22,7,19.626
17,1,1.612
23,3,2.478
18,9,11.954
22,2,2.05
18,5,6.714
13,1,1.514
20,9,17.4
16,6,5.77
22,5,7.198
24,3,2.478
18,11,279.692
15,6,5.306
22,10,256.21
18,4,2.824
19,1,1.604
20,3,2.546
17,11,307.42
23,3,2.478
23,6,10.22
16,3,2.508
15,4,2.834
21,2,2.06
19,10,258.558
11,4,3.04
10,4,3.02
11,6,3.57
15,1,1.52
12,1,1.542
22,9,34.292
15,1,1.52
17,9,10.152
20,1,1.636
21,6,10.46
12,4,3.004
16,4,2.77
10,5,3.306
22,9,34.292
11,4,3.04
22,0,1.596
20,9,17.4
13,0,1.514
15,0,1.534
15,5,5.072
13,2,1.942
16,3,2.508
21,6,10.46
14,2,1.9
18,3,2.562
10,10,363.364
20,3,2.546
24,3,2.478
10,8,5.046
14,2,1.9
17,10,307.144
20,1,1.636
15,9,8.084
10,6,3.386
11,4,3.04
16,9,9.094
22,6,10.266
24,10,392.744
21,10,244.734
16,10,285.0
15,7,6.39
21,6,10.46
11,10,343.594
16,7,6.998
13,0,1.514
14,1,1.46
10,4,3.02
12,5,3.746
17,11,307.42
17,7,7.636
17,1,1.612
19,6,9.336
13,2,1.942
19,8,11.508
22,3,2.5
23,7,20.474
11,4,3.04
18,8,9.684
18,7,8.628
15,4,2.834
20,1,1.636
14,7,5.896
21,0,1.604
22,0,1.596
24,3,2.478
13,2,1.942
16,5,5.392
22,0,1.596
16,1,1.598
18,11,279.692
15,4,2.834
13,8,5.62
21,1,1.598
23,5,7.178
