WindowSize,CompressionLevel,Performance
10,10,363.364
15,8,6.738
12,9,6.47
20,10,246.512
15,8,6.738
19,1,1.604
15,2,1.972
16,10,285.0
24,1,1.57
17,5,5.886
12,5,3.746
15,3,2.392
15,9,8.084
17,0,1.606
17,3,2.564
22,11,259.594
16,10,285.0
18,10,279.698
10,0,1.662
14,2,1.9
17,3,2.564
17,5,5.886
13,1,1.514
20,11,246.08
11,1,1.526
14,5,4.678
12,5,3.746
20,9,17.4
20,9,17.4
13,2,1.942
15,2,1.972
24,11,394.158
12,9,6.47
19,7,10.05
16,11,284.296
24,1,1.57
23,0,1.556
22,8,25.432
10,3,2.616
21,5,7.272
13,2,1.942
23,11,315.238
22,9,34.292
22,9,34.292
15,3,2.392
16,3,2.508
23,4,2.726
11,11,343.996
14,7,5.896
15,1,1.52
12,0,1.528
15,5,5.072
19,9,14.048
21,0,1.604
11,9,6.286
20,8,14.64
21,9,23.614
20,8,14.64
20,9,17.4
17,0,1.606
14,1,1.46
14,10,301.488
10,6,3.386
15,9,8.084
23,4,2.726
14,10,301.488
20,8,14.64
21,1,1.598
22,10,256.21
19,11,258.502
21,8,18.874
15,1,1.52
23,3,2.478
11,6,3.57
23,2,2.032
12,9,6.47
19,7,10.05
15,7,6.39
20,10,246.512
19,1,1.604
23,8,37.284
18,8,9.684
17,4,2.848
16,3,2.508
12,1,1.542
14,10,301.488
10,0,1.662
15,6,5.306
19,2,2.1
12,9,6.47
22,10,256.21
14,3,2.302
11,0,1.526
10,8,5.046
24,1,1.57
22,1,1.586
15,5,5.072
10,4,3.02
20,0,1.63
14,9,7.404
