WindowSize,CompressionLevel,Performance
19,10,258.558
11,1,1.526
19,7,10.05
13,10,313.652
12,5,3.746
18,7,8.628
19,9,14.048
14,0,1.472
19,7,10.05
11,7,5.078
17,11,307.42
20,7,12.338
16,11,284.296
13,2,1.942
16,6,5.77
15,3,2.392
22,1,1.586
24,6,10.176
11,3,2.476
24,5,7.154
23,6,10.22
22,6,10.266
18,6,7.51
15,11,292.192
11,0,1.526
12,10,328.816
18,4,2.824
16,6,5.77
24,3,2.478
10,8,5.046
14,3,2.302
14,6,4.874
16,6,5.77
11,1,1.526
20,10,246.512
12,2,1.988
19,1,1.604
13,6,4.3
10,4,3.02
14,6,4.874
15,1,1.52
13,7,5.554
16,0,1.59
20,9,17.4
15,10,291.618
15,5,5.072
16,4,2.77
15,6,5.306
15,1,1.52
23,8,37.284
10,11,363.346
18,4,2.824
14,11,301.078
12,8,5.318
11,3,2.476
16,6,5.77
20,7,12.338
22,11,259.594
23,5,7.178
18,7,8.628
22,9,34.292
21,6,10.46
11,1,1.526
20,3,2.546
13,5,4.128
12,0,1.528
20,8,14.64
23,7,20.474
14,5,4.678
11,0,1.526
12,5,3.746
17,6,6.34
22,11,259.594
23,7,20.474
12,4,3.004
17,5,5.886
18,7,8.628
21,9,23.614
10,10,363.364
13,0,1.514
21,1,1.598
17,9,10.152
15,1,1.52
22,1,1.586
24,4,2.708
18,2,2.094
24,7,20.228
19,11,258.502
12,5,3.746
12,8,5.318
23,10,318.954
20,0,1.63
13,3,2.37
24,2,2.04
22,11,259.594
15,2,1.972
19,8,11.508
11,7,5.078
17,10,307.144
21,1,1.598
