ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,70190.8
0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,76692.2
1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,67682.4
1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,77981.6
0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,83054.4
1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,86985.2
0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,83353.0
0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,95071.4
1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,70031.4
1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,93012.2
0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,70534.6
1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,79807.4
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,73179.4
0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,85252.8
0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,86395.8
0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,80613.0
0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,79851.0
1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,67015.6
0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,92734.0
0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,67158.6
1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,81036.2
0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,86719.0
0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,86131.2
0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,83802.6
0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,78589.6
1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,84001.8
1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,92349.2
1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,83283.2
0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,86052.6
0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,82806.8
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,63434.8
1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,80861.4
1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,78048.8
0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,90204.4
0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,80468.8
1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,77826.6
0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,71231.2
1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,72757.8
1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,72953.0
0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,80142.2
0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,70509.6
0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,71464.4
0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,66958.0
0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,77050.6
1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,74427.0
1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,81073.2
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,75136.2
0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,81388.2
0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,86024.0
1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,73655.2
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,66602.6
0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,67285.0
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,85303.8
1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,89632.4
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60364.6
0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,95201.4
1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,93576.8
1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,89168.0
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,60514.4
0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,68925.8
0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,83759.0
1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,89981.6
0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,79490.2
1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,90566.2
0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,86546.0
1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,83611.2
0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,66369.6
1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,88125.0
0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,74674.2
1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,85359.0
1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,71355.4
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,72656.2
0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,87936.8
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,74600.8
0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,72503.2
1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,76156.6
1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,80972.0
0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,83634.4
1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,66437.0
1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,77583.6
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,95211.6
0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,68650.8
1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,69090.4
1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,68147.4
0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,74253.0
1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,86693.2
