WindowSize,CompressionLevel,Performance
24,7,20.228
10,7,4.874
23,4,2.726
15,8,6.738
20,7,12.338
13,5,4.128
24,11,394.158
16,7,6.998
24,10,392.744
15,0,1.534
10,8,5.046
14,3,2.302
22,2,2.05
24,6,10.176
10,4,3.02
23,0,1.556
14,9,7.404
11,11,343.996
16,4,2.77
18,8,9.684
18,0,1.628
11,2,1.998
22,6,10.266
24,6,10.176
17,4,2.848
14,2,1.9
16,10,285.0
11,8,5.042
15,4,2.834
14,5,4.678
12,1,1.542
10,9,6.246
20,10,246.512
11,6,3.57
16,7,6.998
22,0,1.596
20,4,2.808
22,5,7.198
24,9,108.602
12,11,328.552
24,0,1.574
22,2,2.05
17,9,10.152
18,0,1.628
20,6,10.658
15,9,8.084
17,10,307.144
23,6,10.22
16,3,2.508
18,2,2.094
23,2,2.032
24,5,7.154
24,9,108.602
16,10,285.0
21,10,244.734
12,4,3.004
21,9,23.614
20,6,10.658
11,3,2.476
12,3,2.426
10,10,363.364
11,6,3.57
16,3,2.508
18,10,279.698
19,4,2.8
20,11,246.08
10,9,6.246
21,1,1.598
15,9,8.084
19,4,2.8
13,3,2.37
14,9,7.404
14,2,1.9
24,0,1.574
19,8,11.508
15,10,291.618
24,8,38.644
17,7,7.636
15,7,6.39
22,9,34.292
18,2,2.094
16,10,285.0
19,1,1.604
17,0,1.606
13,5,4.128
14,3,2.302
16,0,1.59
16,3,2.508
22,2,2.05
19,9,14.048
22,0,1.596
23,11,315.238
10,3,2.616
20,9,17.4
19,8,11.508
16,11,284.296
13,8,5.62
14,11,301.078
24,8,38.644
21,0,1.604
