WindowSize,CompressionLevel,Performance
24,4,2.708
22,1,1.586
20,0,1.63
16,10,285.0
23,10,318.954
21,9,23.614
24,10,392.744
22,7,19.626
18,10,279.698
17,6,6.34
14,8,6.086
15,0,1.534
15,9,8.084
11,11,343.996
21,11,244.72
12,4,3.004
15,11,292.192
21,5,7.272
14,4,2.894
17,9,10.152
13,7,5.554
11,6,3.57
15,4,2.834
20,6,10.658
11,8,5.042
23,8,37.284
20,10,246.512
22,7,19.626
14,5,4.678
18,7,8.628
23,9,63.68
17,7,7.636
16,5,5.392
13,4,2.972
11,8,5.042
22,1,1.586
14,10,301.488
20,7,12.338
24,5,7.154
18,7,8.628
14,5,4.678
18,8,9.684
17,1,1.612
12,3,2.426
12,4,3.004
21,1,1.598
10,9,6.246
15,1,1.52
23,0,1.556
22,9,34.292
19,3,2.552
21,4,2.768
24,10,392.744
18,11,279.692
20,9,17.4
23,9,63.68
14,10,301.488
13,11,315.078
18,5,6.714
15,7,6.39
13,1,1.514
11,2,1.998
11,4,3.04
16,10,285.0
10,4,3.02
13,6,4.3
18,6,7.51
22,0,1.596
14,4,2.894
12,8,5.318
19,10,258.558
13,3,2.37
16,2,2.026
13,5,4.128
14,9,7.404
20,0,1.63
16,11,284.296
16,6,5.77
10,5,3.306
24,5,7.154
19,3,2.552
10,4,3.02
24,2,2.04
21,1,1.598
24,11,394.158
20,5,7.45
22,11,259.594
11,5,3.49
14,11,301.078
10,9,6.246
20,1,1.636
16,10,285.0
24,2,2.04
14,7,5.896
23,7,20.474
17,8,8.454
15,4,2.834
18,6,7.51
10,8,5.046
24,1,1.57
