WindowSize,CompressionLevel,Performance
17.0,8.0,8.454
17.0,7.0,7.636
17.0,6.0,6.34
17.0,6.0,6.34
15.0,6.0,5.306
15.0,4.0,2.834
15.0,10.0,291.618
15.0,11.0,292.192
15.0,4.0,2.834
19.0,4.0,2.8
20.0,4.0,2.808
22.0,4.0,2.748
17.0,4.0,2.848
13.0,4.0,2.972
22.0,3.0,2.5
23.0,3.0,2.478
23.0,0.0,1.556
10.0,0.0,1.662
19.0,0.0,1.614
13.0,0.0,1.514
13.0,1.0,1.514
13.0,8.0,5.62
17.0,0.0,1.606
21.0,0.0,1.604
13.0,10.0,313.652
13.0,6.0,4.3
13.0,3.0,2.37
23.0,0.0,1.556
17.0,0.0,1.606
21.0,0.0,1.604
19.0,7.0,10.05
12.0,7.0,5.266
12.0,5.0,3.746
12.0,5.0,3.746
19.0,5.0,7.372
17.0,5.0,5.886
21.0,5.0,7.272
12.0,0.0,1.528
12.0,8.0,5.318
12.0,0.0,1.528
20.0,0.0,1.63
12.0,7.0,5.266
12.0,2.0,1.988
22.0,0.0,1.596
12.0,11.0,328.552
10.0,0.0,1.662
12.0,8.0,5.318
12.0,9.0,6.47
23.0,9.0,63.68
23.0,6.0,10.22
23.0,11.0,315.238
12.0,6.0,3.846
19.0,6.0,9.336
15.0,6.0,5.306
12.0,0.0,1.528
22.0,0.0,1.596
16.0,0.0,1.59
12.0,9.0,6.47
12.0,5.0,3.746
12.0,4.0,3.004
12.0,11.0,328.552
22.0,0.0,1.596
17.0,0.0,1.606
12.0,0.0,1.528
12.0,0.0,1.528
19.0,1.0,1.604
19.0,5.0,7.372
17.0,1.0,1.612
23.0,1.0,1.572
23.0,7.0,20.474
13.0,1.0,1.514
13.0,1.0,1.514
13.0,7.0,5.554
10.0,1.0,1.666
13.0,8.0,5.62
13.0,6.0,4.3
16.0,1.0,1.598
13.0,3.0,2.37
13.0,9.0,6.862
13.0,4.0,2.972
19.0,1.0,1.604
15.0,4.0,2.834
20.0,4.0,2.808
20.0,8.0,14.64
11.0,4.0,3.04
23.0,4.0,2.726
22.0,4.0,2.748
23.0,11.0,315.238
23.0,10.0,318.954
23.0,5.0,7.178
23.0,5.0,7.178
14.0,4.0,2.894
13.0,4.0,2.972
13.0,4.0,2.972
23.0,11.0,315.238
23.0,10.0,318.954
20.0,6.0,10.658
15.0,6.0,5.306
15.0,11.0,292.192
15.0,8.0,6.738
