WindowSize,CompressionLevel,Performance
22.0,10.0,256.21
22.0,5.0,7.198
22.0,6.0,10.266
22.0,10.0,256.21
20.0,5.0,7.45
11.0,5.0,3.49
12.0,5.0,3.746
11.0,3.0,2.476
11.0,7.0,5.078
13.0,3.0,2.37
13.0,9.0,6.862
13.0,3.0,2.37
13.0,2.0,1.942
24.0,2.0,2.04
13.0,8.0,5.62
13.0,8.0,5.62
13.0,2.0,1.942
13.0,7.0,5.554
13.0,6.0,4.3
23.0,2.0,2.032
13.0,9.0,6.862
13.0,2.0,1.942
11.0,2.0,1.998
17.0,6.0,6.34
17.0,9.0,10.152
19.0,6.0,9.336
24.0,6.0,10.176
17.0,0.0,1.606
18.0,0.0,1.628
17.0,6.0,6.34
17.0,4.0,2.848
18.0,0.0,1.628
17.0,1.0,1.612
23.0,0.0,1.556
23.0,10.0,318.954
23.0,5.0,7.178
23.0,2.0,2.032
24.0,0.0,1.574
17.0,0.0,1.606
17.0,0.0,1.606
23.0,11.0,315.238
23.0,4.0,2.726
23.0,10.0,318.954
14.0,0.0,1.472
13.0,0.0,1.514
14.0,0.0,1.472
14.0,1.0,1.46
11.0,1.0,1.526
14.0,1.0,1.46
23.0,1.0,1.572
13.0,1.0,1.514
14.0,9.0,7.404
14.0,10.0,301.488
19.0,1.0,1.604
14.0,6.0,4.874
14.0,5.0,4.678
24.0,1.0,1.57
20.0,11.0,246.08
20.0,10.0,246.512
17.0,11.0,307.42
20.0,7.0,12.338
22.0,7.0,19.626
20.0,7.0,12.338
22.0,7.0,19.626
20.0,11.0,246.08
20.0,6.0,10.658
20.0,8.0,14.64
24.0,6.0,10.176
24.0,11.0,394.158
19.0,6.0,9.336
19.0,0.0,1.614
19.0,9.0,14.048
10.0,0.0,1.662
14.0,0.0,1.472
14.0,10.0,301.488
14.0,6.0,4.874
13.0,0.0,1.514
14.0,5.0,4.678
13.0,0.0,1.514
10.0,0.0,1.662
14.0,0.0,1.472
14.0,4.0,2.894
23.0,0.0,1.556
23.0,0.0,1.556
14.0,2.0,1.9
10.0,2.0,2.146
15.0,2.0,1.972
22.0,2.0,2.05
14.0,6.0,4.874
14.0,6.0,4.874
16.0,2.0,2.026
14.0,0.0,1.472
17.0,0.0,1.606
14.0,8.0,6.086
15.0,0.0,1.534
14.0,2.0,1.9
24.0,0.0,1.574
14.0,10.0,301.488
21.0,0.0,1.604
14.0,10.0,301.488
