WindowSize,CompressionLevel,Performance
17.0,2.0,2.102
17.0,7.0,7.636
17.0,2.0,2.102
17.0,1.0,1.612
17.0,0.0,1.606
17.0,0.0,1.606
21.0,0.0,1.604
23.0,0.0,1.556
23.0,0.0,1.556
23.0,8.0,37.284
24.0,0.0,1.574
23.0,2.0,2.032
20.0,0.0,1.63
23.0,0.0,1.556
23.0,8.0,37.284
13.0,0.0,1.514
13.0,7.0,5.554
15.0,0.0,1.534
14.0,0.0,1.472
24.0,0.0,1.574
14.0,7.0,5.896
14.0,0.0,1.472
23.0,0.0,1.556
13.0,0.0,1.514
14.0,8.0,6.086
14.0,2.0,1.9
18.0,0.0,1.628
17.0,0.0,1.606
11.0,0.0,1.526
14.0,9.0,7.404
14.0,11.0,301.078
14.0,3.0,2.302
14.0,11.0,301.078
13.0,3.0,2.37
19.0,3.0,2.552
23.0,3.0,2.478
12.0,3.0,2.426
21.0,3.0,2.512
14.0,6.0,4.874
20.0,3.0,2.546
14.0,3.0,2.302
14.0,1.0,1.46
20.0,1.0,1.636
14.0,3.0,2.302
17.0,1.0,1.612
14.0,11.0,301.078
14.0,8.0,6.086
21.0,1.0,1.598
10.0,1.0,1.666
14.0,1.0,1.46
14.0,5.0,4.678
13.0,1.0,1.514
17.0,5.0,5.886
14.0,5.0,4.678
14.0,2.0,1.9
19.0,2.0,2.1
11.0,2.0,1.998
15.0,2.0,1.972
17.0,2.0,2.102
14.0,10.0,301.488
14.0,5.0,4.678
14.0,9.0,7.404
14.0,8.0,6.086
14.0,6.0,4.874
19.0,2.0,2.1
20.0,1.0,1.636
20.0,11.0,246.08
20.0,5.0,7.45
24.0,1.0,1.57
24.0,9.0,108.602
15.0,1.0,1.52
15.0,10.0,291.618
20.0,1.0,1.636
15.0,1.0,1.52
15.0,6.0,5.306
15.0,11.0,292.192
11.0,1.0,1.526
17.0,1.0,1.612
15.0,1.0,1.52
15.0,11.0,292.192
15.0,1.0,1.52
20.0,7.0,12.338
20.0,9.0,17.4
20.0,2.0,2.088
20.0,7.0,12.338
20.0,6.0,10.658
17.0,2.0,2.102
20.0,11.0,246.08
12.0,2.0,1.988
12.0,11.0,328.552
19.0,2.0,2.1
15.0,2.0,1.972
15.0,0.0,1.534
15.0,2.0,1.972
22.0,0.0,1.596
11.0,0.0,1.526
11.0,0.0,1.526
11.0,11.0,343.996
11.0,9.0,6.286
11.0,7.0,5.078
