WindowSize,CompressionLevel,Performance
11.0,6.0,3.57
11.0,4.0,3.04
17.0,4.0,2.848
19.0,4.0,2.8
19.0,11.0,258.502
10.0,4.0,3.02
19.0,9.0,14.048
22.0,4.0,2.748
22.0,9.0,34.292
12.0,4.0,3.004
17.0,4.0,2.848
18.0,4.0,2.824
23.0,4.0,2.726
23.0,7.0,20.474
16.0,4.0,2.77
21.0,4.0,2.768
16.0,4.0,2.77
23.0,8.0,37.284
23.0,6.0,10.22
23.0,6.0,10.22
10.0,4.0,3.02
18.0,4.0,2.824
23.0,6.0,10.22
12.0,5.0,3.746
12.0,11.0,328.552
12.0,3.0,2.426
14.0,3.0,2.302
14.0,9.0,7.404
14.0,11.0,301.078
14.0,4.0,2.894
14.0,8.0,6.086
16.0,3.0,2.508
14.0,11.0,301.078
24.0,3.0,2.478
14.0,4.0,2.894
14.0,2.0,1.9
14.0,3.0,2.302
12.0,2.0,1.988
14.0,11.0,301.078
14.0,10.0,301.488
14.0,11.0,301.078
14.0,1.0,1.46
14.0,1.0,1.46
14.0,7.0,5.896
21.0,1.0,1.598
20.0,1.0,1.636
14.0,0.0,1.472
14.0,5.0,4.678
14.0,9.0,7.404
14.0,4.0,2.894
23.0,1.0,1.572
14.0,10.0,301.488
15.0,8.0,6.738
19.0,8.0,11.508
11.0,8.0,5.042
11.0,9.0,6.286
11.0,11.0,343.996
11.0,0.0,1.526
21.0,0.0,1.604
11.0,9.0,6.286
22.0,0.0,1.596
10.0,0.0,1.662
16.0,0.0,1.59
11.0,9.0,6.286
11.0,6.0,3.57
15.0,0.0,1.534
11.0,5.0,3.49
11.0,9.0,6.286
18.0,1.0,1.63
18.0,3.0,2.562
11.0,1.0,1.526
21.0,1.0,1.598
11.0,3.0,2.476
11.0,9.0,6.286
11.0,10.0,343.594
11.0,1.0,1.526
11.0,2.0,1.998
11.0,4.0,3.04
20.0,1.0,1.636
13.0,1.0,1.514
17.0,1.0,1.612
13.0,1.0,1.514
17.0,1.0,1.612
13.0,1.0,1.514
13.0,8.0,5.62
13.0,2.0,1.942
13.0,4.0,2.972
13.0,8.0,5.62
13.0,5.0,4.128
16.0,1.0,1.598
22.0,0.0,1.596
23.0,0.0,1.556
23.0,2.0,2.032
23.0,3.0,2.478
16.0,0.0,1.59
23.0,11.0,315.238
12.0,0.0,1.528
16.0,0.0,1.59
10.0,0.0,1.662
15.0,0.0,1.534
