WindowSize,CompressionLevel,Performance
14.0,0.0,1.472
20.0,0.0,1.63
14.0,10.0,301.488
23.0,0.0,1.556
14.0,8.0,6.086
14.0,7.0,5.896
14.0,3.0,2.302
22.0,0.0,1.596
14.0,0.0,1.472
15.0,0.0,1.534
20.0,0.0,1.63
14.0,5.0,4.678
19.0,5.0,7.372
14.0,4.0,2.894
11.0,4.0,3.04
23.0,4.0,2.726
19.0,4.0,2.8
23.0,3.0,2.478
14.0,3.0,2.302
14.0,0.0,1.472
14.0,6.0,4.874
13.0,0.0,1.514
14.0,11.0,301.078
14.0,9.0,7.404
21.0,0.0,1.604
14.0,5.0,4.678
15.0,0.0,1.534
11.0,0.0,1.526
14.0,9.0,7.404
14.0,2.0,1.9
12.0,9.0,6.47
12.0,6.0,3.846
12.0,1.0,1.542
12.0,9.0,6.47
12.0,9.0,6.47
12.0,0.0,1.528
12.0,7.0,5.266
17.0,0.0,1.606
12.0,11.0,328.552
11.0,0.0,1.526
12.0,0.0,1.528
20.0,0.0,1.63
24.0,0.0,1.574
11.0,2.0,1.998
11.0,6.0,3.57
20.0,0.0,1.63
17.0,0.0,1.606
11.0,1.0,1.526
11.0,0.0,1.526
17.0,0.0,1.606
18.0,7.0,8.628
10.0,7.0,4.874
15.0,7.0,6.39
10.0,4.0,3.02
15.0,4.0,2.834
16.0,4.0,2.77
21.0,4.0,2.768
21.0,0.0,1.604
15.0,0.0,1.534
11.0,0.0,1.526
11.0,11.0,343.996
18.0,0.0,1.628
11.0,1.0,1.526
11.0,1.0,1.526
20.0,0.0,1.63
11.0,8.0,5.042
11.0,10.0,343.594
12.0,0.0,1.528
11.0,8.0,5.042
11.0,0.0,1.526
16.0,6.0,5.77
16.0,9.0,9.094
21.0,6.0,10.46
16.0,4.0,2.77
19.0,4.0,2.8
16.0,6.0,5.77
16.0,2.0,2.026
22.0,2.0,2.05
16.0,2.0,2.026
16.0,5.0,5.392
16.0,11.0,284.296
16.0,7.0,6.998
12.0,2.0,1.988
12.0,10.0,328.816
10.0,2.0,2.146
23.0,2.0,2.032
12.0,0.0,1.528
12.0,0.0,1.528
12.0,2.0,1.988
14.0,0.0,1.472
14.0,4.0,2.894
12.0,0.0,1.528
14.0,8.0,6.086
14.0,0.0,1.472
12.0,0.0,1.528
14.0,7.0,5.896
13.0,0.0,1.514
14.0,7.0,5.896
14.0,0.0,1.472
10.0,0.0,1.662
