WindowSize,CompressionLevel,Performance
15.0,3.0,2.392
15.0,4.0,2.834
15.0,6.0,5.306
15.0,6.0,5.306
10.0,3.0,2.616
17.0,3.0,2.564
19.0,3.0,2.552
15.0,5.0,5.072
15.0,3.0,2.392
11.0,3.0,2.476
15.0,1.0,1.52
15.0,9.0,8.084
24.0,1.0,1.57
15.0,3.0,2.392
20.0,1.0,1.636
19.0,1.0,1.604
10.0,1.0,1.666
17.0,1.0,1.612
21.0,1.0,1.598
24.0,1.0,1.57
15.0,8.0,6.738
20.0,1.0,1.636
20.0,1.0,1.636
20.0,3.0,2.546
20.0,5.0,7.45
20.0,11.0,246.08
20.0,11.0,246.08
20.0,8.0,14.64
12.0,1.0,1.542
18.0,1.0,1.63
12.0,5.0,3.746
12.0,1.0,1.542
23.0,1.0,1.572
12.0,8.0,5.318
21.0,1.0,1.598
24.0,1.0,1.57
12.0,0.0,1.528
19.0,0.0,1.614
23.0,0.0,1.556
12.0,10.0,328.816
12.0,8.0,5.318
12.0,1.0,1.542
22.0,0.0,1.596
12.0,8.0,5.318
23.0,0.0,1.556
12.0,6.0,3.846
12.0,9.0,6.47
19.0,8.0,11.508
19.0,10.0,258.558
19.0,11.0,258.502
24.0,8.0,38.644
22.0,8.0,25.432
19.0,1.0,1.604
19.0,0.0,1.614
19.0,1.0,1.604
16.0,1.0,1.598
16.0,3.0,2.508
16.0,10.0,285.0
22.0,1.0,1.586
21.0,1.0,1.598
18.0,1.0,1.63
22.0,8.0,25.432
22.0,7.0,19.626
23.0,1.0,1.572
23.0,7.0,20.474
23.0,1.0,1.572
23.0,0.0,1.556
23.0,0.0,1.556
14.0,0.0,1.472
14.0,5.0,4.678
10.0,0.0,1.662
14.0,2.0,1.9
18.0,0.0,1.628
14.0,0.0,1.472
16.0,0.0,1.59
14.0,7.0,5.896
14.0,0.0,1.472
13.0,0.0,1.514
18.0,0.0,1.628
16.0,11.0,284.296
15.0,11.0,292.192
13.0,11.0,315.078
16.0,6.0,5.77
16.0,2.0,2.026
11.0,2.0,1.998
11.0,6.0,3.57
11.0,5.0,3.49
11.0,11.0,343.996
11.0,7.0,5.078
11.0,1.0,1.526
14.0,1.0,1.46
14.0,0.0,1.472
20.0,1.0,1.636
14.0,4.0,2.894
14.0,4.0,2.894
14.0,1.0,1.46
14.0,1.0,1.46
17.0,1.0,1.612
14.0,5.0,4.678
12.0,1.0,1.542
