WindowSize,CompressionLevel,Performance
13.0,11.0,315.078
13.0,4.0,2.972
13.0,7.0,5.554
17.0,4.0,2.848
17.0,0.0,1.606
17.0,0.0,1.606
21.0,0.0,1.604
21.0,5.0,7.272
21.0,8.0,18.874
23.0,0.0,1.556
13.0,0.0,1.514
15.0,0.0,1.534
19.0,0.0,1.614
12.0,0.0,1.528
14.0,0.0,1.472
14.0,6.0,4.874
14.0,5.0,4.678
14.0,0.0,1.472
14.0,6.0,4.874
24.0,0.0,1.574
14.0,6.0,4.874
14.0,0.0,1.472
16.0,0.0,1.59
23.0,0.0,1.556
24.0,0.0,1.574
18.0,6.0,7.51
21.0,6.0,10.46
18.0,11.0,279.692
24.0,6.0,10.176
18.0,6.0,7.51
23.0,6.0,10.22
16.0,6.0,5.77
16.0,6.0,5.77
15.0,6.0,5.306
23.0,6.0,10.22
15.0,2.0,1.972
18.0,2.0,2.094
19.0,2.0,2.1
13.0,2.0,1.942
10.0,2.0,2.146
21.0,2.0,2.06
22.0,2.0,2.05
13.0,9.0,6.862
10.0,2.0,2.146
18.0,2.0,2.094
13.0,8.0,5.62
13.0,2.0,1.942
11.0,2.0,1.998
15.0,2.0,1.972
22.0,9.0,34.292
22.0,5.0,7.198
13.0,5.0,4.128
13.0,8.0,5.62
23.0,5.0,7.178
13.0,3.0,2.37
23.0,3.0,2.478
19.0,3.0,2.552
13.0,0.0,1.514
13.0,2.0,1.942
13.0,4.0,2.972
13.0,3.0,2.37
15.0,0.0,1.534
23.0,0.0,1.556
13.0,6.0,4.3
13.0,4.0,2.972
23.0,0.0,1.556
23.0,0.0,1.556
13.0,6.0,4.3
10.0,10.0,363.364
18.0,10.0,279.698
18.0,0.0,1.628
17.0,0.0,1.606
22.0,0.0,1.596
10.0,0.0,1.662
20.0,0.0,1.63
12.0,0.0,1.528
23.0,0.0,1.556
12.0,11.0,328.552
12.0,5.0,3.746
12.0,3.0,2.426
17.0,0.0,1.606
19.0,0.0,1.614
13.0,0.0,1.514
20.0,0.0,1.63
17.0,0.0,1.606
17.0,0.0,1.606
13.0,8.0,5.62
16.0,0.0,1.59
17.0,0.0,1.606
13.0,0.0,1.514
23.0,0.0,1.556
10.0,0.0,1.662
14.0,0.0,1.472
16.0,0.0,1.59
14.0,5.0,4.678
18.0,0.0,1.628
14.0,3.0,2.302
12.0,0.0,1.528
14.0,2.0,1.9
14.0,6.0,4.874
