new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1.0,1.0,1.0,0.0,1.0,0.0,4096.0,4.0,18514.2
1.0,1.0,1.0,0.0,0.0,0.0,4096.0,4.0,18464.2
1.0,1.0,1.0,0.0,0.0,0.0,4096.0,4.0,18464.2
1.0,1.0,1.0,0.0,0.0,0.0,64.0,4.0,18463.8
1.0,1.0,1.0,0.0,0.0,0.0,64.0,4.0,18463.8
1.0,1.0,0.0,0.0,0.0,0.0,64.0,4.0,18439.4
1.0,1.0,0.0,0.0,0.0,20.0,64.0,4.0,12035.2
1.0,1.0,0.0,0.0,1.0,20.0,64.0,4.0,12040.4
1.0,1.0,0.0,0.0,0.0,70.0,64.0,4.0,11832.4
1.0,1.0,0.0,0.0,0.0,70.0,16.0,4.0,11880.2
1.0,1.0,0.0,0.0,0.0,70.0,64.0,4.0,11832.4
1.0,1.0,0.0,1.0,0.0,70.0,64.0,4.0,11822.4
1.0,1.0,1.0,1.0,0.0,70.0,64.0,4.0,11792.0
1.0,1.0,1.0,1.0,0.0,70.0,64.0,4.0,11792.0
1.0,1.0,1.0,1.0,0.0,20.0,64.0,4.0,12021.8
1.0,1.0,1.0,1.0,0.0,100.0,64.0,4.0,11759.0
1.0,1.0,0.0,1.0,0.0,100.0,64.0,4.0,11776.2
1.0,1.0,1.0,1.0,0.0,100.0,64.0,4.0,11759.0
1.0,0.0,1.0,1.0,0.0,100.0,64.0,4.0,11743.6
1.0,0.0,0.0,1.0,0.0,100.0,64.0,4.0,11741.2
1.0,0.0,0.0,1.0,0.0,100.0,64.0,0.0,17735.2
1.0,0.0,0.0,1.0,1.0,100.0,64.0,4.0,11788.6
1.0,0.0,0.0,1.0,0.0,100.0,64.0,4.0,11741.2
1.0,0.0,0.0,1.0,0.0,100.0,64.0,4.0,11741.2
1.0,0.0,0.0,1.0,0.0,40.0,64.0,4.0,11899.4
1.0,1.0,0.0,1.0,0.0,100.0,64.0,4.0,11776.2
1.0,0.0,0.0,1.0,0.0,20.0,64.0,4.0,12020.0
1.0,0.0,0.0,1.0,0.0,100.0,64.0,0.0,17735.2
1.0,0.0,0.0,1.0,0.0,100.0,64.0,4.0,11741.2
1.0,0.0,0.0,1.0,0.0,100.0,64.0,4.0,11741.2
1.0,0.0,0.0,1.0,0.0,100.0,4096.0,2.0,17798.0
1.0,1.0,0.0,1.0,0.0,100.0,4096.0,2.0,17850.4
1.0,0.0,0.0,1.0,0.0,100.0,4096.0,0.0,17724.2
1.0,0.0,0.0,1.0,0.0,100.0,512.0,0.0,17867.8
1.0,1.0,0.0,1.0,0.0,100.0,4096.0,0.0,17742.4
1.0,0.0,0.0,1.0,0.0,100.0,4096.0,0.0,17724.2
1.0,0.0,0.0,1.0,0.0,100.0,4096.0,0.0,17724.2
1.0,0.0,0.0,1.0,0.0,100.0,4096.0,0.0,17724.2
1.0,0.0,0.0,1.0,0.0,80.0,4096.0,0.0,17766.2
1.0,0.0,0.0,1.0,0.0,100.0,4096.0,0.0,17724.2
1.0,0.0,0.0,1.0,0.0,100.0,4096.0,0.0,17724.2
1.0,0.0,1.0,1.0,0.0,100.0,4096.0,0.0,17698.0
1.0,0.0,1.0,1.0,0.0,100.0,4096.0,0.0,17698.0
1.0,0.0,1.0,1.0,0.0,100.0,4096.0,0.0,17698.0
1.0,0.0,1.0,1.0,0.0,10.0,4096.0,0.0,17664.6
1.0,0.0,1.0,1.0,0.0,10.0,4096.0,0.0,17664.6
1.0,0.0,1.0,1.0,1.0,10.0,4096.0,0.0,17678.0
1.0,0.0,1.0,1.0,0.0,10.0,64.0,0.0,17694.0
1.0,0.0,1.0,1.0,0.0,10.0,4096.0,0.0,17664.6
1.0,0.0,1.0,1.0,0.0,60.0,4096.0,0.0,17714.4
1.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,12315.2
3.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,12469.8
5.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,9115.0
5.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,9115.0
5.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,9115.0
5.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,9115.0
5.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,9115.0
5.0,0.0,1.0,1.0,0.0,10.0,8.0,4.0,9157.2
5.0,0.0,1.0,1.0,0.0,10.0,2048.0,4.0,9197.2
5.0,0.0,1.0,1.0,0.0,80.0,4096.0,4.0,9195.2
5.0,0.0,1.0,1.0,0.0,10.0,4096.0,4.0,9115.0
5.0,0.0,1.0,1.0,0.0,10.0,4096.0,10.0,301076.0
5.0,0.0,1.0,1.0,0.0,10.0,64.0,4.0,9104.4
5.0,0.0,1.0,1.0,0.0,0.0,64.0,4.0,9179.2
5.0,0.0,1.0,0.0,0.0,10.0,64.0,4.0,9138.0
5.0,0.0,1.0,1.0,0.0,10.0,64.0,4.0,9104.4
5.0,0.0,1.0,1.0,0.0,30.0,64.0,4.0,9149.4
5.0,0.0,1.0,1.0,0.0,10.0,64.0,4.0,9104.4
5.0,0.0,1.0,1.0,0.0,10.0,64.0,4.0,9104.4
5.0,1.0,1.0,1.0,0.0,10.0,64.0,4.0,9121.2
5.0,0.0,1.0,1.0,0.0,10.0,64.0,10.0,299325.2
5.0,0.0,1.0,1.0,0.0,10.0,64.0,10.0,299325.2
5.0,0.0,1.0,1.0,0.0,10.0,64.0,4.0,9104.4
1.0,1.0,0.0,1.0,1.0,0.0,4096.0,6.0,123715.8
1.0,1.0,0.0,1.0,0.0,0.0,4096.0,6.0,123512.8
1.0,1.0,0.0,1.0,0.0,0.0,4096.0,6.0,123512.8
1.0,1.0,0.0,1.0,0.0,0.0,128.0,6.0,123596.0
1.0,1.0,0.0,1.0,0.0,20.0,4096.0,6.0,91985.6
1.0,1.0,0.0,1.0,0.0,20.0,4096.0,6.0,91985.6
1.0,1.0,0.0,1.0,0.0,20.0,4096.0,6.0,91985.6
1.0,1.0,0.0,1.0,0.0,20.0,128.0,6.0,91759.0
1.0,1.0,0.0,1.0,0.0,20.0,128.0,6.0,91759.0
1.0,1.0,0.0,1.0,0.0,80.0,128.0,6.0,90862.0
1.0,1.0,0.0,1.0,0.0,80.0,128.0,6.0,90862.0
1.0,1.0,0.0,0.0,0.0,80.0,128.0,6.0,89776.0
1.0,1.0,0.0,0.0,0.0,80.0,128.0,6.0,89776.0
1.0,0.0,0.0,0.0,0.0,80.0,128.0,6.0,89859.6
2.0,1.0,0.0,0.0,0.0,80.0,128.0,6.0,85560.2
2.0,1.0,0.0,0.0,0.0,80.0,4.0,6.0,72635.0
2.0,1.0,0.0,0.0,0.0,80.0,4.0,2.0,5503.6
2.0,0.0,0.0,0.0,0.0,80.0,4.0,2.0,5510.8
2.0,1.0,0.0,0.0,0.0,80.0,4.0,2.0,5503.6
2.0,1.0,0.0,0.0,0.0,80.0,4.0,2.0,5503.6
2.0,1.0,0.0,0.0,0.0,80.0,4.0,2.0,5503.6
2.0,1.0,0.0,0.0,1.0,80.0,4.0,2.0,5508.2
2.0,1.0,1.0,0.0,0.0,80.0,4.0,2.0,5510.0
2.0,1.0,1.0,0.0,0.0,80.0,4.0,2.0,5510.0
2.0,1.0,0.0,0.0,0.0,80.0,4.0,2.0,5503.6
2.0,1.0,0.0,0.0,0.0,80.0,4.0,2.0,5503.6
2.0,1.0,0.0,1.0,0.0,80.0,4.0,2.0,17626.8
