WindowSize,CompressionLevel,Performance
23.0,8.0,37.284
23.0,8.0,37.284
15.0,8.0,6.738
22.0,8.0,25.432
12.0,8.0,5.318
12.0,10.0,328.816
16.0,8.0,7.548
10.0,8.0,5.046
24.0,8.0,38.644
10.0,5.0,3.306
10.0,4.0,3.02
10.0,4.0,3.02
10.0,4.0,3.02
10.0,6.0,3.386
10.0,6.0,3.386
10.0,6.0,3.386
10.0,4.0,3.02
12.0,4.0,3.004
12.0,6.0,3.846
12.0,9.0,6.47
12.0,10.0,328.816
12.0,2.0,1.988
12.0,11.0,328.552
22.0,2.0,2.05
12.0,2.0,1.988
15.0,2.0,1.972
21.0,2.0,2.06
15.0,0.0,1.534
13.0,0.0,1.514
20.0,0.0,1.63
24.0,0.0,1.574
13.0,2.0,1.942
13.0,7.0,5.554
13.0,0.0,1.514
13.0,6.0,4.3
13.0,0.0,1.514
13.0,9.0,6.862
13.0,0.0,1.514
13.0,0.0,1.514
10.0,8.0,5.046
10.0,8.0,5.046
10.0,9.0,6.246
10.0,10.0,363.364
10.0,4.0,3.02
10.0,7.0,4.874
10.0,11.0,363.346
23.0,4.0,2.726
23.0,1.0,1.572
23.0,4.0,2.726
22.0,1.0,1.586
19.0,1.0,1.604
15.0,1.0,1.52
15.0,3.0,2.392
19.0,1.0,1.604
23.0,1.0,1.572
15.0,3.0,2.392
17.0,1.0,1.612
12.0,1.0,1.542
15.0,6.0,5.306
22.0,1.0,1.586
24.0,1.0,1.57
20.0,1.0,1.636
10.0,7.0,4.874
15.0,7.0,6.39
10.0,10.0,363.364
10.0,1.0,1.666
10.0,8.0,5.046
18.0,1.0,1.63
14.0,1.0,1.46
14.0,11.0,301.078
14.0,2.0,1.9
14.0,4.0,2.894
22.0,1.0,1.586
19.0,1.0,1.604
15.0,1.0,1.52
14.0,3.0,2.302
14.0,3.0,2.302
14.0,1.0,1.46
14.0,8.0,6.086
12.0,2.0,1.988
17.0,2.0,2.102
11.0,2.0,1.998
15.0,2.0,1.972
15.0,9.0,8.084
14.0,2.0,1.9
14.0,8.0,6.086
14.0,10.0,301.488
14.0,7.0,5.896
19.0,2.0,2.1
14.0,10.0,301.488
14.0,7.0,5.896
14.0,6.0,4.874
10.0,2.0,2.146
14.0,2.0,1.9
14.0,10.0,301.488
11.0,11.0,343.996
11.0,1.0,1.526
11.0,2.0,1.998
12.0,1.0,1.542
11.0,1.0,1.526
