new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1.0,1.0,1.0,0.0,0.0,0.0,4096.0,0.0,32.509
1.0,1.0,2.0,0.0,0.0,0.0,4096.0,0.0,31.1622
1.0,1.0,2.0,0.0,0.0,0.0,4096.0,0.0,31.1622
1.0,1.0,2.0,0.0,1.0,0.0,4096.0,0.0,31.8582
1.0,1.0,2.0,0.0,0.0,0.0,4096.0,0.0,31.1622
1.0,1.0,2.0,1.0,0.0,0.0,4096.0,0.0,32.6976
1.0,1.0,2.0,0.0,0.0,1.0,4096.0,0.0,32.6992
1.0,1.0,2.0,0.0,0.0,0.0,512.0,0.0,31.6822
1.0,1.0,2.0,0.0,0.0,0.0,4096.0,0.0,31.1622
1.0,1.0,2.0,0.0,0.0,0.0,4096.0,0.0,31.1622
1.0,1.0,2.0,1.0,0.0,0.0,4096.0,0.0,32.6976
1.0,1.0,2.0,0.0,0.0,0.0,2048.0,0.0,31.8866
1.0,2.0,2.0,0.0,0.0,1.0,2048.0,9.0,164.0904
1.0,2.0,1.0,0.0,0.0,1.0,2048.0,9.0,168.2838
1.0,2.0,2.0,0.0,0.0,1.0,2048.0,9.0,164.0904
1.0,2.0,2.0,0.0,0.0,1.0,2048.0,9.0,164.0904
1.0,2.0,2.0,0.0,0.0,1.0,2048.0,9.0,164.0904
1.0,2.0,2.0,0.0,0.0,1.0,2048.0,9.0,164.0904
1.0,2.0,2.0,0.0,0.0,1.0,2048.0,9.0,164.0904
1.0,2.0,2.0,0.0,1.0,1.0,2048.0,9.0,165.2884
1.0,2.0,2.0,0.0,0.0,1.0,2048.0,9.0,164.0904
1.0,1.0,2.0,0.0,0.0,0.0,1024.0,0.0,31.2326
1.0,1.0,2.0,0.0,0.0,0.0,1024.0,0.0,31.2326
1.0,1.0,2.0,0.0,0.0,0.0,1024.0,0.0,31.2326
1.0,1.0,2.0,0.0,1.0,0.0,1024.0,0.0,31.9844
1.0,1.0,2.0,0.0,0.0,0.0,1024.0,0.0,31.2326
1.0,0.0,2.0,0.0,0.0,0.0,1024.0,0.0,165.4556
1.0,1.0,2.0,0.0,0.0,0.0,1024.0,0.0,31.2326
1.0,1.0,2.0,0.0,1.0,0.0,1024.0,0.0,31.9844
1.0,1.0,2.0,0.0,0.0,0.0,1024.0,0.0,31.2326
1.0,1.0,2.0,0.0,0.0,1.0,1024.0,0.0,32.145
1.0,0.0,1.0,0.0,1.0,0.0,4096.0,0.0,167.49
1.0,0.0,1.0,0.0,1.0,0.0,4096.0,0.0,167.49
1.0,0.0,1.0,0.0,1.0,0.0,512.0,0.0,166.168
1.0,0.0,1.0,0.0,1.0,0.0,512.0,0.0,166.168
1.0,0.0,2.0,0.0,1.0,0.0,512.0,0.0,166.2254
