WindowSize,CompressionLevel,Performance
14.0,8.0,6.086
12.0,8.0,5.318
12.0,2.0,1.988
18.0,2.0,2.094
12.0,0.0,1.528
19.0,0.0,1.614
15.0,0.0,1.534
12.0,7.0,5.266
12.0,9.0,6.47
12.0,10.0,328.816
13.0,0.0,1.514
13.0,9.0,6.862
16.0,0.0,1.59
13.0,11.0,315.078
24.0,0.0,1.574
20.0,0.0,1.63
13.0,5.0,4.128
13.0,4.0,2.972
21.0,0.0,1.604
13.0,4.0,2.972
13.0,5.0,4.128
17.0,8.0,8.454
17.0,8.0,8.454
17.0,8.0,8.454
17.0,8.0,8.454
24.0,8.0,38.644
17.0,3.0,2.564
10.0,3.0,2.616
17.0,3.0,2.564
16.0,3.0,2.508
18.0,3.0,2.562
16.0,3.0,2.508
18.0,3.0,2.562
16.0,10.0,285.0
16.0,10.0,285.0
20.0,3.0,2.546
18.0,3.0,2.562
16.0,2.0,2.026
12.0,2.0,1.988
16.0,2.0,2.026
12.0,0.0,1.528
19.0,0.0,1.614
12.0,9.0,6.47
12.0,9.0,6.47
12.0,11.0,328.552
12.0,3.0,2.426
20.0,0.0,1.63
24.0,0.0,1.574
12.0,8.0,5.318
12.0,5.0,3.746
24.0,0.0,1.574
17.0,5.0,5.886
17.0,3.0,2.564
17.0,9.0,10.152
17.0,10.0,307.144
17.0,0.0,1.606
17.0,11.0,307.42
13.0,0.0,1.514
13.0,0.0,1.514
10.0,0.0,1.662
14.0,0.0,1.472
14.0,0.0,1.472
13.0,0.0,1.514
14.0,11.0,301.078
16.0,0.0,1.59
17.0,0.0,1.606
14.0,0.0,1.472
14.0,4.0,2.894
14.0,6.0,4.874
15.0,0.0,1.534
10.0,0.0,1.662
12.0,4.0,3.004
22.0,4.0,2.748
22.0,9.0,34.292
19.0,4.0,2.8
17.0,4.0,2.848
22.0,6.0,10.266
19.0,4.0,2.8
22.0,8.0,25.432
22.0,11.0,259.594
22.0,7.0,19.626
22.0,4.0,2.748
22.0,11.0,259.594
13.0,2.0,1.942
13.0,10.0,313.652
22.0,2.0,2.05
13.0,6.0,4.3
13.0,2.0,1.942
24.0,2.0,2.04
13.0,11.0,315.078
16.0,2.0,2.026
13.0,9.0,6.862
17.0,2.0,2.102
10.0,2.0,2.146
19.0,6.0,9.336
23.0,6.0,10.22
19.0,1.0,1.604
19.0,1.0,1.604
19.0,1.0,1.604
19.0,9.0,14.048
