WindowSize,CompressionLevel,Performance
16.0,5.0,5.392
16.0,9.0,9.094
16.0,10.0,285.0
16.0,5.0,5.392
23.0,5.0,7.178
16.0,5.0,5.392
16.0,9.0,9.094
19.0,5.0,7.372
16.0,6.0,5.77
16.0,5.0,5.392
19.0,5.0,7.372
19.0,8.0,11.508
19.0,6.0,9.336
22.0,6.0,10.266
10.0,6.0,3.386
17.0,6.0,6.34
10.0,9.0,6.246
14.0,6.0,4.874
10.0,3.0,2.616
17.0,3.0,2.564
18.0,3.0,2.562
17.0,3.0,2.564
19.0,3.0,2.552
18.0,3.0,2.562
14.0,3.0,2.302
14.0,11.0,301.078
14.0,7.0,5.896
13.0,3.0,2.37
14.0,5.0,4.678
14.0,9.0,7.404
23.0,3.0,2.478
21.0,3.0,2.512
13.0,3.0,2.37
14.0,4.0,2.894
14.0,6.0,4.874
14.0,1.0,1.46
10.0,1.0,1.666
14.0,5.0,4.678
14.0,1.0,1.46
17.0,1.0,1.612
14.0,3.0,2.302
22.0,1.0,1.586
22.0,1.0,1.586
17.0,1.0,1.612
14.0,2.0,1.9
22.0,1.0,1.586
10.0,2.0,2.146
10.0,11.0,363.346
24.0,2.0,2.04
20.0,2.0,2.088
22.0,2.0,2.05
24.0,1.0,1.57
24.0,3.0,2.478
22.0,1.0,1.586
23.0,1.0,1.572
12.0,1.0,1.542
12.0,4.0,3.004
17.0,1.0,1.612
12.0,9.0,6.47
12.0,11.0,328.552
12.0,5.0,3.746
24.0,1.0,1.57
22.0,1.0,1.586
17.0,1.0,1.612
19.0,1.0,1.604
11.0,1.0,1.526
11.0,11.0,343.996
11.0,6.0,3.57
13.0,1.0,1.514
13.0,8.0,5.62
13.0,2.0,1.942
13.0,0.0,1.514
13.0,9.0,6.862
13.0,6.0,4.3
13.0,5.0,4.128
13.0,4.0,2.972
20.0,1.0,1.636
14.0,1.0,1.46
22.0,1.0,1.586
14.0,2.0,1.9
12.0,1.0,1.542
14.0,5.0,4.678
23.0,1.0,1.572
14.0,6.0,4.874
15.0,1.0,1.52
11.0,1.0,1.526
24.0,1.0,1.57
20.0,1.0,1.636
24.0,8.0,38.644
24.0,10.0,392.744
24.0,6.0,10.176
24.0,6.0,10.176
14.0,6.0,4.874
14.0,4.0,2.894
14.0,10.0,301.488
22.0,4.0,2.748
16.0,4.0,2.77
22.0,3.0,2.5
10.0,3.0,2.616
22.0,5.0,7.198
