new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1.0,0.0,0.0,0.0,1.0,60.0,16.0,8.0,96464.4
5.0,0.0,0.0,0.0,1.0,60.0,16.0,8.0,121696.8
1.0,0.0,0.0,0.0,1.0,100.0,16.0,8.0,95644.4
1.0,0.0,0.0,1.0,1.0,100.0,16.0,8.0,105475.8
1.0,0.0,0.0,1.0,1.0,100.0,16.0,8.0,105475.8
1.0,0.0,0.0,0.0,1.0,100.0,1.0,8.0,83192.4
2.0,0.0,0.0,0.0,1.0,100.0,1.0,8.0,83164.4
2.0,0.0,0.0,0.0,1.0,100.0,1.0,8.0,83164.4
2.0,1.0,0.0,0.0,1.0,100.0,1.0,8.0,83355.2
2.0,0.0,0.0,0.0,1.0,100.0,1.0,8.0,83164.4
2.0,0.0,0.0,0.0,1.0,100.0,32.0,8.0,99572.8
2.0,0.0,0.0,0.0,1.0,100.0,1.0,8.0,83164.4
2.0,0.0,1.0,0.0,1.0,100.0,1.0,8.0,83378.0
2.0,0.0,0.0,0.0,1.0,100.0,4.0,8.0,81107.0
2.0,0.0,0.0,0.0,1.0,100.0,256.0,8.0,101323.0
2.0,0.0,0.0,0.0,1.0,100.0,4.0,8.0,81107.0
2.0,0.0,0.0,0.0,1.0,100.0,128.0,8.0,101377.8
2.0,0.0,0.0,0.0,1.0,30.0,4.0,8.0,81032.0
2.0,0.0,0.0,0.0,1.0,30.0,1024.0,8.0,100475.2
2.0,0.0,0.0,0.0,1.0,30.0,4.0,8.0,81032.0
2.0,0.0,0.0,0.0,0.0,30.0,4.0,8.0,80839.2
2.0,0.0,0.0,0.0,1.0,30.0,4.0,8.0,81032.0
2.0,0.0,0.0,0.0,0.0,30.0,4096.0,8.0,100563.0
2.0,0.0,0.0,0.0,0.0,30.0,4.0,8.0,80839.2
2.0,0.0,0.0,0.0,0.0,30.0,4.0,8.0,80839.2
2.0,0.0,0.0,0.0,0.0,30.0,128.0,8.0,100363.2
2.0,0.0,0.0,0.0,0.0,30.0,4.0,8.0,80839.2
2.0,0.0,0.0,0.0,0.0,30.0,256.0,8.0,100409.0
2.0,0.0,0.0,0.0,0.0,30.0,128.0,8.0,100363.2
2.0,0.0,0.0,0.0,0.0,30.0,4.0,8.0,80839.2
5.0,0.0,0.0,0.0,0.0,30.0,4.0,8.0,121610.0
2.0,1.0,0.0,0.0,0.0,50.0,1.0,8.0,83233.0
2.0,1.0,0.0,0.0,0.0,50.0,1.0,8.0,83233.0
2.0,1.0,0.0,0.0,0.0,50.0,1.0,8.0,83233.0
2.0,1.0,0.0,0.0,0.0,50.0,1.0,8.0,83233.0
2.0,1.0,0.0,0.0,0.0,50.0,1.0,8.0,83233.0
