WindowSize,CompressionLevel,Performance
12.0,8.0,5.318
12.0,1.0,1.542
19.0,1.0,1.604
12.0,2.0,1.988
23.0,1.0,1.572
20.0,1.0,1.636
19.0,1.0,1.604
15.0,1.0,1.52
15.0,6.0,5.306
15.0,1.0,1.52
15.0,3.0,2.392
10.0,1.0,1.666
15.0,8.0,6.738
11.0,1.0,1.526
17.0,1.0,1.612
15.0,11.0,292.192
15.0,4.0,2.834
15.0,2.0,1.972
14.0,4.0,2.894
14.0,10.0,301.488
14.0,5.0,4.678
15.0,4.0,2.834
13.0,4.0,2.972
20.0,4.0,2.808
22.0,4.0,2.748
22.0,11.0,259.594
21.0,4.0,2.768
14.0,4.0,2.894
22.0,1.0,1.586
18.0,1.0,1.63
12.0,1.0,1.542
18.0,1.0,1.63
12.0,6.0,3.846
12.0,4.0,3.004
12.0,6.0,3.846
23.0,1.0,1.572
12.0,9.0,6.47
12.0,11.0,328.552
12.0,0.0,1.528
12.0,1.0,1.542
20.0,0.0,1.63
15.0,0.0,1.534
18.0,0.0,1.628
12.0,1.0,1.542
12.0,6.0,3.846
12.0,9.0,6.47
12.0,9.0,6.47
12.0,1.0,1.542
12.0,4.0,3.004
16.0,4.0,2.77
16.0,2.0,2.026
16.0,9.0,9.094
14.0,2.0,1.9
14.0,11.0,301.078
14.0,4.0,2.894
14.0,2.0,1.9
14.0,5.0,4.678
22.0,2.0,2.05
14.0,2.0,1.9
14.0,8.0,6.086
14.0,5.0,4.678
21.0,2.0,2.06
15.0,2.0,1.972
10.0,1.0,1.666
13.0,1.0,1.514
16.0,1.0,1.598
13.0,9.0,6.862
20.0,1.0,1.636
17.0,1.0,1.612
23.0,1.0,1.572
10.0,1.0,1.666
13.0,6.0,4.3
22.0,1.0,1.586
12.0,1.0,1.542
19.0,1.0,1.604
12.0,7.0,5.266
12.0,1.0,1.542
12.0,0.0,1.528
24.0,0.0,1.574
10.0,0.0,1.662
12.0,10.0,328.816
21.0,0.0,1.604
20.0,0.0,1.63
22.0,0.0,1.596
12.0,2.0,1.988
16.0,0.0,1.59
12.0,0.0,1.528
19.0,0.0,1.614
20.0,0.0,1.63
20.0,2.0,2.088
20.0,2.0,2.088
20.0,9.0,17.4
20.0,8.0,14.64
20.0,0.0,1.63
20.0,1.0,1.636
18.0,0.0,1.628
18.0,7.0,8.628
18.0,7.0,8.628
18.0,8.0,9.684
18.0,8.0,9.684
