WindowSize,CompressionLevel,Performance
21.0,4.0,2.768
13.0,4.0,2.972
22.0,4.0,2.748
22.0,1.0,1.586
10.0,1.0,1.666
22.0,8.0,25.432
22.0,2.0,2.05
16.0,1.0,1.598
15.0,1.0,1.52
12.0,1.0,1.542
22.0,1.0,1.586
18.0,1.0,1.63
20.0,1.0,1.636
15.0,1.0,1.52
15.0,4.0,2.834
17.0,1.0,1.612
21.0,1.0,1.598
20.0,1.0,1.636
15.0,2.0,1.972
19.0,7.0,10.05
10.0,7.0,4.874
21.0,7.0,15.806
19.0,7.0,10.05
10.0,3.0,2.616
16.0,3.0,2.508
22.0,3.0,2.5
14.0,3.0,2.302
14.0,8.0,6.086
14.0,4.0,2.894
14.0,2.0,1.9
18.0,2.0,2.094
17.0,2.0,2.102
14.0,9.0,7.404
14.0,2.0,1.9
12.0,2.0,1.988
14.0,10.0,301.488
14.0,1.0,1.46
14.0,5.0,4.678
14.0,8.0,6.086
13.0,1.0,1.514
14.0,6.0,4.874
14.0,2.0,1.9
14.0,4.0,2.894
14.0,3.0,2.302
14.0,10.0,301.488
17.0,1.0,1.612
12.0,1.0,1.542
15.0,7.0,6.39
15.0,2.0,1.972
24.0,2.0,2.04
15.0,0.0,1.534
15.0,2.0,1.972
15.0,1.0,1.52
15.0,4.0,2.834
17.0,1.0,1.612
15.0,5.0,5.072
15.0,8.0,6.738
24.0,1.0,1.57
15.0,3.0,2.392
15.0,11.0,292.192
20.0,1.0,1.636
15.0,10.0,291.618
17.0,1.0,1.612
10.0,10.0,363.364
11.0,10.0,343.594
11.0,9.0,6.286
14.0,9.0,7.404
11.0,9.0,6.286
18.0,9.0,11.954
11.0,6.0,3.57
20.0,6.0,10.658
24.0,6.0,10.176
11.0,9.0,6.286
11.0,8.0,5.042
10.0,6.0,3.386
15.0,6.0,5.306
13.0,6.0,4.3
18.0,6.0,7.51
10.0,3.0,2.616
10.0,2.0,2.146
13.0,2.0,1.942
16.0,2.0,2.026
19.0,2.0,2.1
13.0,4.0,2.972
10.0,2.0,2.146
23.0,2.0,2.032
18.0,2.0,2.094
13.0,11.0,315.078
13.0,4.0,2.972
13.0,2.0,1.942
14.0,2.0,1.9
15.0,2.0,1.972
14.0,9.0,7.404
11.0,2.0,1.998
21.0,2.0,2.06
14.0,9.0,7.404
14.0,7.0,5.896
13.0,2.0,1.942
17.0,2.0,2.102
19.0,2.0,2.1
