WindowSize,CompressionLevel,Performance
23.0,2.0,2.032
23.0,1.0,1.572
23.0,8.0,37.284
23.0,6.0,10.22
11.0,1.0,1.526
14.0,1.0,1.46
14.0,3.0,2.302
14.0,3.0,2.302
15.0,1.0,1.52
14.0,1.0,1.46
14.0,1.0,1.46
17.0,1.0,1.612
17.0,1.0,1.612
23.0,1.0,1.572
18.0,1.0,1.63
14.0,11.0,301.078
11.0,2.0,1.998
10.0,2.0,2.146
11.0,6.0,3.57
11.0,11.0,343.996
11.0,5.0,3.49
23.0,2.0,2.032
16.0,2.0,2.026
14.0,2.0,1.9
20.0,2.0,2.088
14.0,5.0,4.678
14.0,8.0,6.086
23.0,2.0,2.032
12.0,2.0,1.988
14.0,10.0,301.488
13.0,2.0,1.942
14.0,2.0,1.9
21.0,2.0,2.06
14.0,8.0,6.086
15.0,2.0,1.972
23.0,2.0,2.032
11.0,2.0,1.998
15.0,11.0,292.192
21.0,2.0,2.06
19.0,2.0,2.1
14.0,2.0,1.9
22.0,2.0,2.05
18.0,2.0,2.094
14.0,9.0,7.404
14.0,6.0,4.874
14.0,8.0,6.086
14.0,2.0,1.9
12.0,2.0,1.988
15.0,2.0,1.972
14.0,1.0,1.46
17.0,1.0,1.612
14.0,3.0,2.302
16.0,1.0,1.598
22.0,1.0,1.586
16.0,1.0,1.598
14.0,2.0,1.9
23.0,1.0,1.572
20.0,1.0,1.636
14.0,4.0,2.894
14.0,7.0,5.896
10.0,5.0,3.306
10.0,6.0,3.386
10.0,5.0,3.306
18.0,5.0,6.714
15.0,5.0,5.072
21.0,5.0,7.272
17.0,5.0,5.886
15.0,5.0,5.072
21.0,5.0,7.272
22.0,5.0,7.198
21.0,5.0,7.272
14.0,3.0,2.302
14.0,9.0,7.404
18.0,3.0,2.562
23.0,3.0,2.478
14.0,3.0,2.302
14.0,6.0,4.874
20.0,3.0,2.546
14.0,5.0,4.678
13.0,3.0,2.37
14.0,1.0,1.46
14.0,9.0,7.404
14.0,8.0,6.086
14.0,9.0,7.404
24.0,1.0,1.57
13.0,1.0,1.514
22.0,1.0,1.586
14.0,2.0,1.9
15.0,1.0,1.52
14.0,6.0,4.874
13.0,1.0,1.514
21.0,5.0,7.272
21.0,1.0,1.598
21.0,4.0,2.768
19.0,1.0,1.604
21.0,0.0,1.604
21.0,6.0,10.46
21.0,1.0,1.598
18.0,1.0,1.63
19.0,1.0,1.604
