WindowSize,CompressionLevel,Performance
16.0,3.0,2.508
16.0,0.0,1.59
16.0,1.0,1.598
23.0,0.0,1.556
18.0,0.0,1.628
23.0,4.0,2.726
24.0,0.0,1.574
23.0,10.0,318.954
23.0,1.0,1.572
11.0,0.0,1.526
11.0,0.0,1.526
16.0,0.0,1.59
11.0,5.0,3.49
11.0,5.0,3.49
15.0,0.0,1.534
10.0,0.0,1.662
11.0,0.0,1.526
11.0,0.0,1.526
11.0,9.0,6.286
11.0,0.0,1.526
23.0,11.0,315.238
12.0,11.0,328.552
13.0,11.0,315.078
13.0,2.0,1.942
13.0,4.0,2.972
13.0,3.0,2.37
15.0,2.0,1.972
18.0,2.0,2.094
13.0,1.0,1.514
13.0,6.0,4.3
17.0,1.0,1.612
13.0,6.0,4.3
20.0,1.0,1.636
13.0,7.0,5.554
13.0,2.0,1.942
13.0,0.0,1.514
14.0,1.0,1.46
16.0,1.0,1.598
17.0,1.0,1.612
14.0,8.0,6.086
14.0,5.0,4.678
14.0,10.0,301.488
14.0,0.0,1.472
10.0,1.0,1.666
14.0,1.0,1.46
20.0,1.0,1.636
14.0,7.0,5.896
17.0,11.0,307.42
24.0,11.0,394.158
17.0,4.0,2.848
17.0,0.0,1.606
17.0,7.0,7.636
17.0,0.0,1.606
17.0,3.0,2.564
17.0,2.0,2.102
17.0,3.0,2.564
17.0,1.0,1.612
13.0,0.0,1.514
13.0,3.0,2.37
13.0,1.0,1.514
12.0,0.0,1.528
13.0,4.0,2.972
23.0,0.0,1.556
24.0,0.0,1.574
13.0,6.0,4.3
19.0,0.0,1.614
13.0,0.0,1.514
13.0,8.0,5.62
24.0,2.0,2.04
17.0,2.0,2.102
24.0,2.0,2.04
11.0,2.0,1.998
11.0,3.0,2.476
12.0,2.0,1.988
12.0,1.0,1.542
12.0,9.0,6.47
21.0,1.0,1.598
14.0,1.0,1.46
23.0,1.0,1.572
14.0,9.0,7.404
14.0,1.0,1.46
13.0,1.0,1.514
14.0,5.0,4.678
14.0,11.0,301.078
13.0,1.0,1.514
20.0,1.0,1.636
14.0,6.0,4.874
14.0,6.0,4.874
10.0,10.0,363.364
11.0,10.0,343.594
11.0,7.0,5.078
23.0,7.0,20.474
22.0,7.0,19.626
15.0,7.0,6.39
11.0,5.0,3.49
11.0,11.0,343.996
11.0,5.0,3.49
11.0,3.0,2.476
11.0,4.0,3.04
16.0,3.0,2.508
